Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	222.0 	111.526 
2007 	3 	15 	251.0 	72.535 
2007 	4 	16 	568.0 	101.897 
2007 	5 	15 	160.0 	400.039 
2007 	6 	19 	91.0 	322.130 
2007 	7 	11 	90.0 	242.521 
2007 	8 	15 	152.0 	247.133 
2007 	9 	17 	121.0 	194.411 
2007 	10 	15 	165.0 	161.554 
2007 	11 	14 	160.0 	133.538 
2007 	12 	12 	184.0 	92.823 
2008 	1 	15 	493.0 	111.065 
2008 	2 	17 	269.0 	89.315 
2008 	3 	17 	231.0 	76.372 
2008 	4 	14 	281.0 	68.355 
2008 	5 	15 	223.0 	648.185 
2008 	6 	11 	125.0 	376.633 
2008 	7 	14 	122.0 	318.726 
2008 	8 	18 	191.0 	139.434 
2008 	9 	15 	174.0 	129.488 
2008 	10 	14 	153.0 	117.398 
2008 	11 	14 	203.0 	102.945 
2008 	12 	15 	234.0 	73.002 
2009 	1 	14 	517.0 	101.340 
2009 	2 	16 	239.0 	58.271 
2009 	3 	16 	261.0 	45.518 
2009 	4 	20 	341.0 	52.480 
2009 	5 	15 	220.0 	389.601 
2009 	6 	15 	252.0 	246.757 
2009 	8 	17 	118.0 	152.498 
2009 	9 	15 	135.0 	151.856 
2009 	10 	15 	118.0 	133.582 
2009 	11 	13 	313.0 	72.054 
2009 	12 	14 	164.0 	108.638 
2010 	1 	13 	296.0 	80.766 
2010 	2 	15 	306.0 	57.030 
2010 	3 	15 	281.0 	46.478 
2010 	4 	13 	233.0 	56.006 
2010 	5 	17 	248.0 	428.037 
2010 	6 	14 	118.0 	328.012 
2010 	7 	14 	125.0 	202.492 
2010 	8 	16 	119.0 	225.186 
2010 	9 	15 	158.0 	99.297 
2010 	10 	11 	160.0 	128.640 
2010 	11 	15 	255.0 	76.029 
2010 	12 	13 	195.0 	78.149 
2011 	1 	17 	213.0 	68.628 
2011 	2 	15 	227.0 	53.073 
2011 	3 	14 	248.0 	47.076 
2011 	4 	11 	262.0 	51.892 
2011 	5 	16 	191.0 	192.389 
2011 	6 	13 	137.0 	317.895 
2011 	7 	11 	152.0 	272.164 
2011 	8 	14 	119.0 	234.669 
2011 	9 	18 	230.0 	468.735 
2011 	10 	16 	197.0 	379.293 
2011 	11 	14 	174.0 	236.489 
2011 	12 	12 	341.0 	135.932 
2012 	2 	12 	482.0 	95.210 
2012 	3 	13 	222.0 	76.060 
2012 	4 	9 	224.0 	69.638 
2012 	5 	20 	256.0 	500.032 
2012 	6 	17 	145.0 	538.434 
2012 	7 	16 	119.0 	360.484 
2012 	8 	12 	150.0 	225.880 
2012 	9 	16 	158.0 	209.288 
2012 	10 	14 	190.0 	363.690 
2012 	11 	18 	231.0 	160.954 
2012 	12 	16 	637.0 	100.408 
2013 	1 	17 	159.0 	96.539 
2013 	2 	12 	186.0 	77.190 
2013 	3 	17 	202.0 	61.728 
2013 	4 	14 	209.0 	49.080 
2013 	5 	12 	250.0 	330.593 
2013 	6 	16 	170.0 	407.158 
2013 	7 	13 	130.0 	299.541 
2013 	8 	10 	122.0 	175.140 
2013 	9 	15 	122.0 	106.182 
2013 	10 	12 	153.0 	152.042 
2013 	11 	17 	302.0 	104.314 
2013 	12 	15 	151.0 	78.199 
2014 	1 	16 	167.0 	75.545 
2014 	2 	15 	183.0 	88.151 
2014 	3 	15 	232.0 	90.127 
2014 	4 	21 	562.0 	133.328 
2014 	5 	18 	318.0 	244.378 
2014 	6 	15 	142.0 	533.484 
2014 	7 	13 	143.0 	204.792 
2014 	8 	17 	114.0 	128.575 
2014 	9 	14 	122.0 	82.832 
2014 	10 	12 	260.0 	61.764 
2014 	11 	16 	141.0 	61.820 
2014 	12 	14 	208.0 	54.063 
2015 	1 	17 	150.0 	69.089 
2015 	2 	16 	172.0 	69.592 
2015 	3 	15 	160.0 	62.715 
2015 	4 	19 	242.0 	107.286 
2015 	5 	17 	287.0 	509.902 
2015 	6 	13 	171.0 	498.775 
2015 	7 	18 	158.0 	412.393 
2015 	8 	16 	143.0 	340.418 
2015 	9 	12 	115.0 	161.094 
2015 	10 	17 	215.0 	181.308 
2015 	11 	14 	228.0 	121.679 
2015 	12 	12 	127.0 	105.565 
2016 	1 	16 	153.0 	87.766 
2016 	2 	14 	144.0 	86.655 
2016 	3 	12 	225.0 	65.751 
2016 	4 	16 	287.0 	85.216 
2016 	5 	15 	234.0 	460.089 
2016 	6 	13 	105.0 	292.618 
2016 	7 	13 	139.0 	293.861 
2016 	8 	14 	152.0 	225.415 
2016 	9 	17 	124.0 	195.013 
2016 	10 	15 	270.0 	141.045 
2016 	11 	13 	139.0 	69.261 
2016 	12 	13 	201.0 	65.213 
2017 	1 	15 	168.0 	78.826 
2017 	2 	18 	202.0 	87.307 
2017 	3 	18 	156.0 	71.457 
2017 	4 	9 	257.0 	65.028 
2017 	5 	14 	486.0 	151.093 
2017 	6 	18 	180.0 	329.302 
2017 	7 	14 	115.0 	339.031 
2017 	8 	12 	117.0 	294.118 
2017 	9 	17 	278.0 	279.700 
2017 	10 	15 	203.0 	266.642 
2017 	11 	18 	167.0 	104.980 
2017 	12 	16 	179.0 	110.792 
2018 	1 	13 	162.0 	75.977 
2018 	2 	18 	160.0 	83.179 
2018 	3 	17 	167.0 	59.075 
2018 	4 	14 	247.0 	52.144 
2018 	5 	13 	263.0 	688.584 
2018 	6 	16 	118.0 	234.257 
2018 	7 	20 	121.0 	135.067 
2018 	8 	16 	113.0 	136.073 
2018 	9 	17 	94.0 	126.158 
2018 	10 	14 	103.0 	130.592 
2018 	11 	12 	118.0 	116.598 
2018 	12 	17 	141.0 	64.675 
