Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	16 	988.0 	166.528 
2007 	2 	13 	981.0 	53.771 
2007 	3 	12 	1131.0 	66.929 
2007 	4 	16 	1257.0 	20.045 
2007 	5 	21 	1087.0 	27.855 
2007 	6 	12 	1180.0 	7.009 
2007 	7 	16 	665.0 	88.383 
2007 	8 	14 	876.0 	40.038 
2007 	9 	10 	998.0 	23.217 
2007 	10 	16 	894.0 	31.956 
2007 	11 	12 	905.0 	46.700 
2007 	12 	17 	765.0 	70.336 
2008 	1 	14 	853.0 	106.526 
2008 	2 	11 	1030.0 	92.757 
2008 	3 	10 	823.0 	137.919 
2008 	4 	15 	835.0 	59.197 
2008 	5 	12 	1075.0 	13.609 
2008 	6 	23 	1117.0 	4.321 
2008 	7 	14 	1717.0 	10.341 
2008 	8 	12 	908.0 	51.338 
2008 	9 	15 	784.0 	40.172 
2008 	10 	14 	813.0 	62.689 
2008 	11 	12 	898.0 	103.563 
2008 	12 	15 	907.0 	47.496 
2009 	1 	13 	1204.0 	68.098 
2009 	2 	10 	1241.0 	30.934 
2009 	3 	18 	926.0 	41.002 
2009 	4 	15 	1124.0 	25.291 
2009 	5 	11 	936.0 	18.636 
2009 	6 	15 	1274.0 	22.989 
2009 	7 	14 	1275.0 	9.889 
2009 	8 	10 	959.0 	21.605 
2009 	9 	14 	766.0 	29.989 
2009 	10 	13 	852.0 	31.683 
2009 	11 	10 	829.0 	37.404 
2009 	12 	16 	786.0 	50.637 
2010 	1 	12 	1018.0 	35.610 
2010 	2 	15 	1190.0 	15.888 
2010 	3 	17 	1325.0 	12.790 
2010 	4 	19 	1085.0 	33.405 
2010 	5 	20 	910.0 	17.408 
2010 	6 	21 	1251.0 	19.459 
2010 	7 	14 	958.0 	4.337 
2010 	8 	24 	932.0 	60.990 
2010 	9 	14 	895.0 	40.962 
2010 	10 	18 	967.0 	22.797 
2010 	11 	17 	1008.0 	81.663 
2010 	12 	8 	962.0 	48.852 
2011 	1 	18 	1405.0 	77.889 
2011 	2 	15 	899.0 	81.129 
2011 	3 	16 	1146.0 	43.588 
2011 	4 	11 	797.0 	76.270 
2011 	5 	16 	1223.0 	12.821 
2011 	6 	15 	1323.0 	10.308 
2011 	7 	13 	774.0 	10.142 
2011 	8 	16 	1151.0 	43.674 
2011 	9 	14 	741.0 	103.668 
2011 	10 	17 	908.0 	56.458 
2011 	11 	15 	879.0 	34.919 
2011 	12 	12 	779.0 	185.490 
2012 	1 	16 	763.0 	111.737 
2012 	2 	20 	1285.0 	32.427 
2012 	3 	12 	983.0 	32.656 
2012 	4 	17 	832.0 	41.948 
2012 	5 	15 	785.0 	56.564 
2012 	6 	18 	1101.0 	13.482 
2012 	7 	16 	862.0 	33.137 
2012 	8 	15 	686.0 	21.900 
2012 	9 	17 	942.0 	42.587 
2012 	10 	17 	765.0 	94.861 
2012 	11 	11 	799.0 	93.020 
2012 	12 	17 	1149.0 	27.824 
2013 	1 	15 	781.0 	64.822 
2013 	2 	12 	841.0 	35.570 
2013 	3 	13 	1084.0 	20.726 
2013 	4 	16 	1300.0 	21.119 
2013 	5 	20 	951.0 	16.011 
2013 	6 	17 	1630.0 	28.759 
2013 	7 	14 	904.0 	6.925 
2013 	8 	19 	1290.0 	5.892 
2013 	9 	16 	801.0 	5.859 
2013 	10 	21 	672.0 	14.647 
2013 	11 	18 	762.0 	53.831 
2013 	12 	16 	905.0 	76.501 
2014 	1 	14 	694.0 	129.956 
2014 	2 	17 	934.0 	76.983 
2014 	3 	18 	890.0 	49.580 
2014 	4 	16 	935.0 	33.943 
