Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	1000.0 	66.119 
2007 	2 	18 	1012.0 	80.679 
2007 	3 	14 	1208.0 	99.371 
2007 	4 	16 	952.0 	36.711 
2007 	5 	13 	910.0 	14.113 
2007 	6 	18 	697.0 	5.447 
2007 	7 	15 	732.0 	94.877 
2007 	8 	15 	760.0 	35.448 
2007 	9 	17 	827.0 	21.682 
2007 	10 	15 	783.0 	42.814 
2007 	11 	18 	862.0 	29.578 
2007 	12 	16 	922.0 	64.828 
2008 	1 	13 	1094.0 	48.582 
2008 	2 	17 	962.0 	66.123 
2008 	3 	17 	904.0 	42.338 
2008 	4 	20 	883.0 	37.125 
2008 	5 	20 	800.0 	21.004 
2008 	6 	17 	766.0 	5.650 
2008 	7 	17 	645.0 	10.195 
2008 	8 	17 	585.0 	19.588 
2008 	9 	14 	690.0 	27.866 
2008 	10 	16 	736.0 	23.159 
2008 	11 	16 	883.0 	56.819 
2008 	12 	14 	965.0 	80.966 
2009 	1 	19 	855.0 	34.548 
2009 	2 	11 	1025.0 	28.298 
2009 	3 	15 	967.0 	32.575 
2009 	4 	20 	805.0 	34.860 
2009 	5 	17 	743.0 	20.284 
2009 	6 	15 	761.0 	22.741 
2009 	7 	15 	760.0 	17.598 
2009 	8 	16 	648.0 	9.880 
2009 	9 	16 	544.0 	6.562 
2009 	10 	13 	543.0 	7.736 
2009 	11 	15 	683.0 	14.629 
2009 	12 	15 	797.0 	30.597 
2010 	1 	10 	908.0 	28.036 
2010 	2 	15 	1009.0 	20.050 
2010 	3 	11 	1519.0 	29.187 
2010 	4 	12 	1038.0 	119.554 
2010 	5 	18 	933.0 	38.696 
2010 	6 	14 	839.0 	30.027 
2010 	7 	18 	752.0 	10.616 
2010 	8 	15 	667.0 	20.114 
2010 	9 	15 	769.0 	30.395 
2010 	10 	13 	802.0 	31.208 
2010 	11 	14 	977.0 	49.309 
2010 	12 	12 	1015.0 	90.114 
2011 	1 	12 	1031.0 	48.805 
2011 	2 	16 	1060.0 	69.921 
2011 	3 	16 	1107.0 	38.600 
2011 	4 	12 	945.0 	70.317 
2011 	5 	16 	890.0 	19.861 
2011 	6 	15 	772.0 	17.595 
2011 	7 	14 	784.0 	24.395 
2011 	8 	16 	658.0 	20.487 
2011 	9 	15 	624.0 	24.691 
2011 	10 	16 	760.0 	19.659 
2011 	11 	15 	823.0 	20.600 
2011 	12 	12 	987.0 	27.523 
2012 	1 	15 	999.0 	64.090 
2012 	2 	14 	905.0 	54.379 
2012 	3 	14 	894.0 	40.020 
2012 	4 	16 	902.0 	28.613 
2012 	5 	14 	865.0 	23.659 
2012 	6 	11 	770.0 	12.990 
2012 	7 	17 	932.0 	128.666 
2012 	8 	13 	965.0 	34.301 
2012 	9 	17 	878.0 	13.201 
2012 	10 	15 	815.0 	26.378 
2012 	11 	15 	850.0 	33.380 
2012 	12 	17 	925.0 	57.169 
2013 	1 	14 	1026.0 	97.078 
2013 	2 	13 	951.0 	47.500 
2013 	3 	13 	1047.0 	27.671 
2013 	4 	15 	1180.0 	32.620 
2013 	5 	15 	1010.0 	24.523 
2013 	6 	17 	806.0 	21.721 
2013 	7 	16 	867.0 	29.345 
2013 	8 	15 	729.0 	11.894 
2013 	9 	15 	638.0 	10.184 
2013 	10 	14 	612.0 	6.414 
2013 	11 	17 	728.0 	12.903 
2013 	12 	15 	744.0 	19.427 
2014 	1 	20 	907.0 	38.598 
2014 	2 	17 	1070.0 	41.111 
2014 	3 	16 	831.0 	42.044 
2014 	4 	14 	883.0 	31.175 
2014 	5 	14 	777.0 	29.162 
2014 	6 	16 	732.0 	15.661 
2014 	7 	16 	655.0 	16.636 
2014 	8 	18 	707.0 	11.184 
2014 	9 	15 	512.0 	13.828 
2014 	10 	15 	541.0 	16.213 
2014 	11 	17 	931.0 	46.694 
2014 	12 	15 	968.0 	46.399 
2015 	1 	14 	986.0 	41.175 
2015 	2 	16 	922.0 	51.232 
2015 	3 	16 	892.0 	58.703 
2015 	4 	15 	883.0 	39.654 
2015 	5 	18 	905.0 	29.673 
2015 	6 	15 	777.0 	14.993 
2015 	7 	15 	771.0 	13.724 
2015 	8 	17 	621.0 	10.712 
2015 	9 	15 	615.0 	8.481 
2015 	10 	14 	566.0 	7.375 
2015 	11 	16 	651.0 	7.468 
2015 	12 	14 	755.0 	20.031 
2016 	1 	12 	843.0 	18.921 
2016 	2 	15 	948.0 	37.462 
2016 	3 	14 	1000.0 	27.959 
2016 	4 	13 	821.0 	22.489 
2016 	5 	16 	702.0 	14.047 
2016 	6 	14 	732.0 	5.627 
2016 	7 	13 	630.0 	4.633 
2016 	8 	15 	562.0 	4.256 
2016 	9 	13 	455.0 	4.291 
2016 	10 	11 	440.0 	4.148 
2016 	11 	15 	1520.0 	24.024 
2016 	12 	12 	1020.0 	24.984 
2017 	1 	17 	920.0 	16.110 
2017 	2 	14 	894.0 	14.580 
2017 	3 	20 	1020.0 	28.796 
2017 	4 	20 	763.0 	19.081 
2017 	5 	23 	686.0 	7.665 
2017 	6 	20 	709.0 	8.365 
2017 	7 	11 	714.0 	6.155 
2017 	8 	24 	508.0 	5.838 
2017 	9 	18 	533.0 	12.404 
2017 	10 	16 	658.0 	19.185 
2017 	11 	21 	896.0 	32.526 
2017 	12 	11 	1100.0 	58.654 
2018 	1 	16 	1010.0 	88.609 
2018 	2 	13 	1090.0 	78.024 
2018 	3 	12 	1190.0 	42.315 
2018 	4 	16 	1130.0 	63.165 
2018 	5 	15 	1060.0 	29.073 
2018 	6 	18 	880.0 	5.694 
2018 	7 	17 	640.0 	3.918 
2018 	8 	21 	626.0 	5.541 
2018 	9 	18 	603.0 	5.179 
2018 	10 	17 	653.0 	4.702 
2018 	11 	13 	636.0 	7.245 
2018 	12 	10 	836.0 	10.735 
