Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	16 	173.0 	433.150 
2007 	2 	15 	94.0 	633.351 
2007 	3 	15 	89.0 	517.748 
2007 	4 	16 	121.0 	370.286 
2007 	5 	21 	144.0 	1095.999 
2007 	6 	19 	124.0 	777.869 
2007 	7 	16 	126.0 	409.867 
2007 	8 	15 	160.0 	527.611 
2007 	9 	17 	123.0 	314.709 
2007 	10 	15 	165.0 	452.894 
2007 	11 	16 	138.0 	403.573 
2007 	12 	6 	120.0 	405.454 
2008 	1 	15 	147.0 	632.628 
2008 	2 	14 	104.0 	642.423 
2008 	3 	18 	107.0 	513.363 
2008 	4 	15 	108.0 	569.259 
2008 	5 	14 	195.0 	1190.593 
2008 	7 	15 	120.0 	602.060 
2008 	9 	18 	116.0 	472.757 
2008 	10 	23 	100.0 	474.007 
2008 	11 	17 	103.0 	471.125 
2009 	1 	14 	109.0 	535.104 
2009 	2 	17 	109.0 	643.291 
2009 	3 	16 	95.0 	647.484 
2009 	4 	15 	116.0 	378.382 
2009 	5 	18 	148.0 	654.526 
2009 	7 	15 	114.0 	283.322 
2009 	8 	13 	151.0 	319.005 
2009 	10 	26 	114.0 	350.582 
2009 	11 	19 	133.0 	352.869 
2009 	12 	15 	135.0 	492.810 
2010 	1 	14 	103.0 	749.627 
2010 	2 	16 	113.0 	533.080 
2010 	3 	17 	113.0 	373.205 
2010 	4 	15 	123.0 	340.422 
2010 	5 	18 	183.0 	658.628 
2010 	7 	13 	146.0 	284.482 
2010 	8 	30 	114.0 	242.585 
2010 	9 	15 	133.0 	410.360 
2010 	10 	29 	155.0 	485.159 
2010 	11 	18 	124.0 	550.446 
2011 	2 	1 	124.0 	584.955 
2011 	2 	16 	140.0 	700.244 
2011 	3 	21 	160.0 	308.912 
2011 	4 	12 	127.0 	275.306 
2011 	5 	16 	138.0 	309.243 
2011 	6 	15 	151.0 	406.201 
2011 	7 	13 	169.0 	321.890 
2011 	8 	17 	171.0 	454.852 
2011 	9 	20 	187.0 	1053.040 
2011 	10 	14 	196.0 	974.234 
2011 	11 	15 	188.0 	533.594 
2011 	12 	15 	179.0 	567.377 
2012 	1 	16 	156.0 	321.259 
2012 	2 	15 	129.0 	763.051 
2012 	3 	14 	112.0 	741.603 
2012 	4 	16 	126.0 	769.728 
2012 	5 	23 	174.0 	1021.133 
2012 	6 	14 	173.0 	711.366 
2012 	7 	25 	152.0 	410.779 
2012 	8 	23 	109.0 	484.299 
2012 	9 	17 	139.0 	486.876 
2012 	10 	16 	192.0 	773.283 
2012 	11 	14 	167.0 	509.507 
2013 	1 	16 	109.0 	771.690 
2013 	2 	14 	113.0 	761.419 
2013 	3 	18 	132.0 	603.509 
2013 	4 	17 	120.0 	636.644 
2013 	5 	20 	151.0 	984.542 
2013 	6 	11 	161.0 	564.898 
2013 	7 	15 	156.0 	422.287 
2013 	8 	19 	130.0 	475.912 
2013 	9 	18 	104.0 	486.608 
2013 	10 	21 	124.0 	643.609 
2013 	11 	13 	129.0 	498.254 
2013 	12 	16 	118.0 	487.316 
2014 	1 	23 	127.0 	639.813 
2014 	2 	17 	130.0 	491.164 
2014 	3 	19 	129.0 	538.941 
2014 	4 	15 	108.0 	427.767 
2014 	5 	16 	130.0 	686.362 
2014 	6 	17 	131.0 	653.355 
2014 	8 	19 	111.0 	374.800 
2014 	9 	16 	106.0 	366.817 
2014 	10 	16 	107.0 	457.630 
2014 	11 	17 	104.0 	366.587 
2014 	12 	14 	100.0 	385.959 
2015 	1 	22 	112.0 	579.330 
2015 	2 	16 	89.0 	502.013 
2015 	3 	17 	96.0 	480.914 
2015 	4 	15 	99.0 	395.986 
2015 	5 	21 	165.0 	980.988 
2015 	6 	11 	201.0 	874.263 
2015 	7 	15 	207.0 	420.290 
2015 	8 	14 	146.0 	826.389 
2015 	9 	22 	121.0 	727.095 
2015 	10 	15 	119.0 	816.465 
2015 	11 	20 	136.0 	788.526 
2015 	12 	14 	104.0 	550.150 
2016 	1 	18 	92.0 	683.804 
2016 	2 	23 	100.0 	678.469 
2016 	4 	7 	100.0 	575.903 
2016 	5 	26 	151.0 	681.792 
2016 	6 	15 	146.0 	534.535 
2016 	7 	14 	163.0 	652.929 
2016 	8 	16 	109.0 	618.082 
2016 	9 	21 	114.0 	581.960 
2016 	10 	18 	140.0 	499.081 
2016 	11 	16 	120.0 	565.754 
2016 	12 	19 	106.0 	514.962 
2017 	1 	16 	104.0 	551.477 
2017 	2 	20 	108.0 	393.835 
2017 	3 	13 	102.0 	410.894 
2017 	4 	18 	109.0 	423.340 
2017 	5 	17 	220.0 	425.461 
2017 	6 	14 	135.0 	450.292 
2017 	7 	11 	139.0 	482.025 
2017 	8 	14 	165.0 	580.681 
2017 	9 	19 	174.0 	725.743 
2017 	10 	16 	142.0 	664.948 
2017 	11 	13 	117.0 	510.206 
2017 	12 	18 	101.0 	641.580 
2018 	1 	15 	124.0 	545.880 
2018 	2 	19 	105.0 	646.162 
2018 	3 	12 	100.0 	693.928 
2018 	4 	16 	101.0 	377.221 
2018 	5 	21 	208.0 	712.619 
2018 	6 	18 	137.0 	372.673 
2018 	7 	11 	132.0 	448.011 
2018 	8 	8 	117.0 	424.372 
2018 	9 	17 	78.0 	593.400 
2018 	10 	15 	106.0 	293.393 
2018 	11 	12 	113.0 	332.210 
2018 	12 	19 	95.0 	625.464 
