Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	291.0 	118.661 
2007 	2 	15 	313.0 	91.818 
2007 	3 	15 	403.0 	72.435 
2007 	4 	16 	396.0 	106.744 
2007 	5 	14 	290.0 	954.227 
2007 	6 	14 	280.0 	726.661 
2007 	7 	16 	135.0 	540.278 
2007 	8 	15 	186.0 	419.613 
2007 	9 	17 	193.0 	294.931 
2007 	10 	15 	271.0 	397.717 
2007 	11 	15 	322.0 	212.032 
2007 	12 	10 	283.0 	192.117 
2008 	1 	15 	386.0 	132.351 
2008 	2 	14 	305.0 	113.845 
2008 	3 	13 	362.0 	96.949 
2008 	4 	16 	415.0 	91.015 
2008 	5 	5 	503.0 	405.684 
2008 	5 	6 	478.0 	531.898 
2008 	5 	7 	443.0 	736.856 
2008 	5 	8 	352.0 	1065.804 
2008 	5 	9 	324.0 	1357.929 
2008 	5 	10 	318.0 	1538.960 
2008 	5 	11 	317.0 	1685.355 
2008 	5 	12 	321.0 	1811.710 
2008 	5 	13 	311.0 	1875.379 
2008 	5 	14 	290.0 	1859.075 
2008 	5 	15 	308.0 	1777.984 
2008 	5 	16 	266.0 	1655.157 
2008 	5 	17 	284.0 	1508.295 
2008 	5 	18 	284.0 	1356.713 
2008 	5 	19 	285.0 	1215.640 
2008 	5 	20 	280.0 	1095.310 
2008 	5 	21 	267.0 	998.238 
2008 	5 	22 	280.0 	922.071 
2008 	5 	23 	336.0 	862.254 
2008 	5 	24 	271.0 	814.711 
2008 	5 	25 	265.0 	779.054 
2008 	5 	26 	272.0 	759.255 
2008 	5 	27 	289.0 	759.071 
2008 	5 	28 	273.0 	780.882 
2008 	5 	29 	372.0 	816.411 
2008 	5 	30 	253.0 	851.658 
2008 	5 	31 	247.0 	881.496 
2008 	6 	1 	246.0 	911.083 
2008 	6 	2 	244.0 	939.715 
2008 	6 	3 	275.0 	959.753 
2008 	6 	4 	255.0 	969.260 
2008 	6 	5 	240.0 	973.748 
2008 	6 	6 	339.0 	973.177 
2008 	6 	7 	254.0 	960.497 
2008 	6 	8 	242.0 	934.563 
2008 	6 	9 	242.0 	899.032 
2008 	6 	10 	201.0 	859.030 
2008 	6 	11 	181.0 	821.544 
2008 	6 	12 	184.0 	789.106 
2008 	6 	13 	257.0 	759.538 
2008 	6 	14 	257.0 	729.055 
