Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	16 	719.0 	226.877 
2007 	2 	13 	626.0 	225.428 
2007 	3 	13 	674.0 	225.955 
2007 	4 	17 	623.0 	225.088 
2007 	5 	15 	563.0 	225.201 
2007 	6 	19 	543.0 	201.222 
2007 	7 	10 	624.0 	225.042 
2007 	8 	14 	553.0 	225.072 
2007 	9 	18 	596.0 	139.879 
2007 	10 	16 	603.0 	158.384 
2007 	11 	13 	625.0 	94.856 
2007 	12 	18 	575.0 	209.533 
2008 	1 	15 	737.0 	230.172 
2008 	2 	12 	671.0 	225.676 
2008 	3 	13 	634.0 	227.934 
2008 	4 	15 	613.0 	225.566 
2008 	5 	13 	614.0 	219.823 
2008 	6 	24 	566.0 	210.223 
2008 	7 	15 	558.0 	135.768 
2008 	8 	11 	643.0 	227.671 
2008 	9 	16 	589.0 	185.201 
2008 	10 	14 	633.0 	225.567 
2008 	11 	18 	649.0 	228.044 
2008 	12 	16 	656.0 	225.388 
2009 	1 	20 	657.0 	226.295 
2009 	2 	17 	672.0 	225.259 
2009 	3 	17 	652.0 	225.760 
2009 	4 	21 	647.0 	179.379 
2009 	5 	12 	623.0 	97.442 
2009 	6 	16 	601.0 	154.628 
2009 	7 	9 	580.0 	108.820 
2009 	8 	18 	624.0 	225.162 
2009 	9 	15 	609.0 	225.069 
2009 	10 	12 	600.0 	225.729 
2009 	11 	17 	635.0 	227.018 
2009 	12 	8 	631.0 	225.763 
2010 	1 	19 	634.0 	225.188 
2010 	2 	16 	660.0 	225.197 
2010 	3 	16 	665.0 	225.272 
2010 	4 	26 	743.0 	224.819 
2010 	5 	18 	678.0 	224.602 
2010 	6 	17 	556.0 	180.027 
2010 	7 	8 	545.0 	128.207 
2010 	8 	19 	590.0 	225.576 
2010 	9 	14 	631.0 	225.905 
2010 	10 	12 	612.0 	225.245 
2010 	11 	11 	693.0 	226.642 
2010 	12 	14 	709.0 	225.286 
2011 	1 	11 	765.0 	180.582 
2011 	2 	15 	750.0 	225.856 
2011 	3 	15 	711.0 	226.303 
2011 	4 	19 	730.0 	225.221 
2011 	5 	17 	678.0 	81.617 
2011 	6 	21 	722.0 	163.479 
2011 	7 	26 	610.0 	226.017 
2011 	8 	16 	602.0 	226.055 
2011 	9 	15 	624.0 	226.542 
2011 	10 	25 	622.0 	225.618 
2011 	11 	15 	638.0 	225.161 
2011 	12 	13 	653.0 	229.075 
2012 	1 	17 	683.0 	225.754 
2012 	2 	14 	689.0 	225.329 
2012 	3 	13 	670.0 	225.273 
2012 	4 	23 	601.0 	225.753 
2012 	5 	15 	731.0 	226.155 
2012 	6 	19 	644.0 	220.563 
2012 	7 	10 	593.0 	225.370 
2012 	8 	7 	601.0 	159.815 
2012 	9 	11 	581.0 	156.491 
2012 	10 	17 	646.0 	226.848 
2012 	11 	13 	708.0 	226.026 
2012 	12 	18 	652.0 	226.323 
2013 	1 	15 	648.0 	225.632 
2013 	2 	12 	644.0 	225.428 
2013 	3 	12 	634.0 	225.194 
2013 	4 	16 	604.0 	225.221 
2013 	5 	14 	657.0 	110.696 
2013 	6 	11 	565.0 	196.995 
2013 	7 	16 	581.0 	158.764 
2013 	8 	15 	588.0 	126.362 
2013 	9 	17 	596.0 	128.110 
2013 	10 	15 	577.0 	86.859 
2013 	11 	12 	715.0 	159.436 
2013 	12 	17 	691.0 	205.826 
2014 	1 	21 	674.0 	225.447 
2014 	2 	11 	762.0 	226.622 
2014 	3 	18 	672.0 	226.294 
2014 	4 	15 	600.0 	225.629 
2014 	5 	13 	641.0 	226.625 
2014 	6 	17 	589.0 	223.828 
2014 	7 	15 	547.0 	206.260 
2014 	8 	12 	520.0 	176.805 
2014 	9 	16 	545.0 	177.333 
2014 	10 	14 	556.0 	135.372 
2014 	11 	18 	614.0 	225.129 
2014 	12 	16 	678.0 	227.544 
2015 	1 	20 	636.0 	226.465 
2015 	2 	17 	648.0 	225.388 
2015 	3 	17 	598.0 	225.200 
2015 	4 	14 	589.0 	226.073 
2015 	5 	12 	613.0 	224.897 
2015 	6 	16 	596.0 	224.996 
2015 	7 	14 	554.0 	220.255 
2015 	8 	11 	550.0 	224.964 
2015 	9 	15 	545.0 	167.980 
2015 	10 	13 	566.0 	225.035 
2015 	11 	17 	661.0 	209.686 
2015 	12 	15 	664.0 	200.725 
2016 	1 	20 	608.0 	225.345 
2016 	2 	16 	615.0 	225.558 
2016 	3 	15 	601.0 	225.462 
2016 	4 	19 	606.0 	182.193 
2016 	5 	24 	604.0 	225.188 
2016 	6 	14 	553.0 	213.639 
2016 	7 	8 	611.0 	161.590 
2016 	8 	16 	547.0 	108.277 
2016 	9 	13 	507.0 	186.106 
2016 	10 	18 	536.0 	118.110 
