Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	16 	84.0 	11.383 
2007 	2 	15 	54.0 	3.398 
2007 	3 	15 	48.0 	5.064 
2007 	4 	16 	29.0 	1.092 
2007 	5 	16 	34.0 	0.433 
2007 	6 	18 	61.0 	0.145 
2007 	7 	12 	48.0 	0.286 
2007 	8 	15 	61.0 	0.160 
2007 	9 	17 	22.0 	0.331 
2007 	10 	15 	23.0 	0.653 
2007 	11 	15 	46.0 	3.159 
2007 	12 	17 	70.0 	5.249 
2008 	1 	15 	57.0 	4.960 
2008 	2 	18 	52.0 	2.189 
2008 	3 	17 	50.0 	4.581 
2008 	4 	15 	41.0 	4.019 
2008 	5 	15 	42.0 	0.432 
2008 	6 	16 	74.0 	0.125 
2008 	7 	15 	100.0 	0.065 
2008 	8 	17 	64.0 	0.089 
2008 	9 	15 	33.0 	0.142 
2008 	10 	16 	20.0 	0.412 
2008 	11 	17 	67.0 	7.147 
2008 	12 	15 	70.0 	10.387 
2009 	1 	15 	96.0 	8.426 
2009 	2 	16 	51.0 	1.958 
2009 	3 	16 	64.0 	7.323 
2009 	4 	15 	31.0 	2.124 
2009 	5 	15 	53.0 	0.594 
2009 	6 	15 	52.0 	0.886 
2009 	7 	15 	73.0 	2.074 
2009 	8 	17 	80.0 	0.431 
2009 	9 	15 	59.0 	0.722 
2009 	10 	15 	57.0 	1.684 
2009 	11 	16 	66.0 	2.327 
2009 	12 	15 	99.0 	3.710 
2010 	1 	15 	45.0 	2.293 
2010 	2 	15 	54.0 	0.696 
2010 	3 	15 	63.0 	4.177 
2010 	4 	15 	47.0 	2.571 
2010 	5 	17 	57.0 	3.423 
2010 	6 	16 	54.0 	1.272 
2010 	7 	15 	141.0 	0.191 
2010 	8 	16 	75.0 	1.248 
2010 	9 	15 	47.0 	0.882 
2010 	10 	15 	48.0 	0.619 
2010 	11 	15 	96.0 	12.110 
2010 	12 	15 	56.0 	5.156 
2011 	1 	17 	110.0 	16.296 
2011 	2 	15 	58.0 	4.667 
2011 	3 	15 	103.0 	9.336 
2011 	4 	16 	44.0 	2.853 
2011 	5 	16 	64.0 	0.606 
2011 	6 	15 	123.0 	0.154 
2011 	7 	15 	69.0 	0.131 
2011 	8 	15 	83.0 	0.359 
2011 	9 	15 	45.0 	0.379 
2011 	10 	18 	32.0 	0.338 
2011 	11 	15 	52.0 	0.371 
2011 	12 	15 	82.0 	4.192 
2012 	1 	17 	58.0 	5.409 
2012 	2 	15 	41.0 	0.926 
2012 	3 	15 	47.0 	2.990 
2012 	4 	16 	30.0 	2.963 
2012 	5 	15 	27.0 	0.664 
2012 	6 	19 	53.0 	0.057 
2012 	7 	18 	16.0 	0.091 
2012 	8 	15 	19.0 	0.344 
2012 	9 	18 	12.0 	0.132 
2012 	10 	16 	170.0 	8.186 
2012 	11 	19 	44.0 	1.807 
2012 	12 	14 	53.0 	2.288 
2013 	1 	15 	45.0 	3.116 
2013 	2 	20 	46.0 	1.928 
2013 	3 	18 	26.0 	0.518 
2013 	4 	15 	51.0 	4.824 
2013 	5 	15 	36.0 	0.596 
2013 	6 	19 	28.0 	0.170 
2013 	7 	22 	37.0 	0.025 
2013 	8 	15 	30.0 	0.013 
2013 	9 	19 	38.0 	0.011 
2013 	10 	22 	27.0 	0.101 
2013 	11 	25 	36.0 	2.317 
2013 	12 	16 	46.0 	5.070 
2014 	1 	27 	36.3 	0.880 
2014 	2 	20 	53.8 	7.486 
2014 	3 	19 	32.0 	1.867 
2014 	4 	16 	22.2 	2.232 
2014 	5 	26 	34.1 	0.324 
2014 	7 	4 	25.4 	0.159 
2014 	7 	16 	38.8 	0.073 
2014 	8 	18 	25.6 	0.038 
2014 	9 	15 	21.7 	0.078 
2014 	10 	22 	22.1 	0.718 
2014 	11 	18 	30.4 	0.314 
2014 	12 	17 	47.3 	2.824 
2015 	1 	21 	37.7 	3.769 
2015 	2 	17 	42.9 	2.319 
2015 	3 	17 	22.1 	1.533 
2015 	4 	20 	17.9 	2.378 
2015 	5 	26 	21.7 	0.671 
2015 	6 	29 	36.2 	0.333 
2015 	7 	22 	23.1 	0.221 
2015 	8 	28 	26.4 	0.028 
2015 	9 	29 	20.5 	0.118 
2015 	10 	20 	17.6 	0.032 
2015 	11 	25 	40.8 	0.303 
2015 	12 	17 	35.9 	0.466 
2016 	1 	11 	28.5 	0.408 
2016 	2 	16 	31.7 	1.773 
2016 	3 	16 	15.6 	1.345 
2016 	4 	25 	18.2 	1.055 
2016 	5 	27 	27.4 	0.283 
2016 	6 	20 	29.2 	0.195 
2016 	7 	22 	34.9 	0.031 
2016 	8 	18 	36.8 	0.040 
2016 	9 	14 	27.6 	0.018 
2016 	11 	11 	35.1 	4.070 
2016 	11 	24 	36.2 	5.214 
2016 	12 	21 	41.8 	4.158 
2017 	1 	12 	45.4 	2.824 
2017 	2 	22 	73.9 	4.505 
2017 	3 	22 	23.6 	2.475 
2017 	4 	19 	17.0 	1.062 
2017 	5 	16 	24.4 	0.462 
2017 	6 	21 	52.1 	0.071 
2017 	7 	24 	35.5 	0.063 
2017 	8 	17 	34.1 	0.018 
2017 	9 	18 	33.5 	2.339 
2017 	10 	25 	42.4 	3.967 
2017 	11 	29 	61.0 	10.437 
2017 	12 	27 	77.8 	10.395 
2018 	1 	21 	47.9 	2.000 
