Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	18 	51.0 	75.843 
2007 	2 	20 	24.0 	11.207 
2007 	3 	21 	27.0 	54.329 
2007 	4 	18 	30.0 	9.215 
2007 	5 	30 	35.0 	6.776 
2007 	7 	18 	28.0 	45.728 
2007 	8 	21 	21.0 	18.668 
2007 	9 	19 	32.0 	7.648 
2007 	10 	17 	35.0 	12.363 
2007 	11 	21 	37.0 	14.078 
2007 	12 	11 	62.0 	59.686 
2008 	1 	15 	54.0 	101.751 
2008 	2 	20 	44.0 	21.754 
2008 	3 	18 	41.0 	30.563 
2008 	4 	15 	34.0 	30.848 
2008 	5 	14 	28.0 	8.365 
2008 	6 	18 	41.0 	2.762 
2008 	7 	16 	43.0 	5.457 
2008 	8 	19 	37.0 	26.716 
2008 	9 	16 	33.0 	25.767 
2008 	10 	16 	33.0 	36.581 
2008 	11 	19 	43.0 	75.168 
2008 	12 	16 	35.0 	21.871 
2009 	1 	20 	34.0 	19.006 
2009 	2 	18 	26.0 	10.900 
2009 	3 	17 	26.0 	20.756 
2009 	4 	15 	34.0 	19.789 
2009 	5 	20 	33.0 	4.182 
2009 	6 	17 	26.0 	7.029 
2009 	7 	9 	31.0 	4.716 
2009 	8 	18 	46.0 	28.288 
2009 	9 	17 	35.0 	15.529 
2009 	10 	19 	33.0 	19.599 
2009 	11 	18 	53.0 	68.035 
2009 	12 	17 	33.0 	20.529 
2010 	1 	19 	24.0 	7.899 
2010 	2 	16 	35.0 	6.314 
2010 	3 	17 	28.0 	8.728 
2010 	4 	20 	32.0 	22.111 
2010 	5 	18 	25.0 	8.327 
2010 	6 	16 	28.0 	5.565 
2010 	7 	20 	22.0 	3.641 
2010 	8 	17 	36.0 	11.324 
2010 	9 	21 	35.0 	17.582 
2010 	10 	18 	30.0 	14.470 
2010 	11 	16 	38.0 	44.962 
2010 	12 	19 	27.0 	10.398 
2011 	1 	18 	34.0 	41.936 
2011 	2 	15 	51.0 	27.764 
2011 	3 	15 	25.0 	13.412 
2011 	4 	19 	37.0 	29.406 
2011 	5 	17 	32.0 	5.623 
2011 	6 	14 	44.0 	17.311 
2011 	7 	19 	40.0 	9.349 
2011 	8 	16 	39.0 	7.259 
2011 	9 	20 	49.0 	125.092 
2011 	10 	18 	37.0 	16.314 
2011 	11 	21 	33.0 	13.312 
2011 	12 	13 	40.0 	83.052 
2012 	1 	10 	39.0 	33.707 
2012 	2 	7 	36.0 	12.333 
2012 	3 	6 	38.0 	22.742 
2012 	4 	10 	42.0 	8.518 
2012 	5 	8 	29.0 	12.228 
2012 	6 	12 	23.0 	17.078 
2012 	7 	10 	37.0 	15.249 
2012 	8 	14 	35.0 	15.255 
2012 	9 	11 	34.0 	10.440 
2012 	10 	9 	56.0 	53.650 
2012 	11 	13 	39.0 	33.138 
2012 	12 	11 	36.0 	16.210 
2013 	1 	8 	65.0 	50.679 
2013 	2 	12 	48.0 	12.196 
2013 	3 	12 	36.0 	5.604 
2013 	4 	9 	40.0 	2.619 
2013 	5 	14 	34.0 	28.671 
2013 	6 	11 	30.0 	8.999 
2013 	7 	9 	32.0 	8.619 
2013 	8 	13 	36.0 	4.217 
2013 	9 	10 	29.0 	3.680 
2013 	10 	8 	46.0 	3.572 
2013 	11 	14 	39.0 	47.439 
2013 	12 	10 	46.0 	23.295 
2014 	1 	14 	37.0 	44.775 
2014 	2 	11 	27.9 	97.271 
2014 	3 	11 	26.5 	37.239 
2014 	4 	8 	29.8 	13.137 
2014 	5 	13 	27.5 	18.360 
2014 	6 	10 	26.0 	4.918 
2014 	7 	8 	34.4 	4.547 
2014 	9 	2 	36.4 	17.265 
