Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	16 	33.0 	226.877 
2007 	2 	13 	14.0 	225.428 
2007 	3 	13 	13.0 	225.955 
2007 	4 	17 	8.0 	225.088 
2007 	5 	15 	7.0 	225.201 
2007 	6 	19 	11.0 	201.222 
2007 	7 	10 	24.0 	225.042 
2007 	8 	14 	10.0 	225.072 
2007 	9 	18 	10.0 	139.880 
2007 	10 	16 	17.0 	158.384 
2007 	11 	13 	15.0 	94.856 
2007 	12 	18 	18.0 	209.533 
2008 	1 	15 	31.0 	230.172 
2008 	2 	12 	23.0 	225.676 
2008 	3 	13 	24.0 	227.934 
2008 	4 	15 	17.0 	225.566 
2008 	5 	13 	12.0 	219.823 
2008 	6 	24 	10.0 	210.224 
2008 	7 	15 	9.0 	135.768 
2008 	8 	11 	18.0 	227.671 
2008 	9 	16 	13.0 	185.201 
2008 	10 	14 	14.0 	225.567 
2008 	11 	18 	23.0 	228.044 
2008 	12 	16 	20.0 	225.388 
2009 	1 	20 	13.0 	226.295 
2009 	2 	17 	12.0 	225.259 
2009 	3 	17 	15.0 	225.760 
2009 	4 	21 	10.0 	179.379 
2009 	5 	12 	12.0 	97.443 
2009 	6 	16 	17.0 	154.628 
2009 	7 	9 	22.0 	108.820 
2009 	8 	18 	16.0 	225.162 
2009 	9 	15 	13.0 	225.070 
2009 	10 	12 	12.0 	225.729 
2009 	11 	17 	17.0 	227.018 
2009 	12 	8 	31.0 	225.763 
2010 	1 	19 	16.0 	225.188 
2010 	2 	16 	13.0 	225.197 
2010 	3 	16 	8.0 	225.272 
2010 	4 	26 	14.0 	224.819 
2010 	5 	18 	16.0 	224.602 
2010 	6 	17 	13.0 	180.027 
2010 	7 	8 	16.0 	128.207 
2010 	8 	19 	21.0 	225.576 
2010 	9 	14 	43.0 	225.905 
2010 	10 	12 	11.0 	225.245 
2010 	11 	11 	32.0 	226.642 
2010 	12 	14 	20.0 	225.286 
2011 	1 	11 	17.0 	180.582 
2011 	2 	15 	14.0 	225.856 
2011 	3 	15 	18.0 	226.303 
2011 	4 	19 	16.0 	225.222 
2011 	5 	17 	14.0 	81.617 
