Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	26.0 	15.870 
2007 	2 	12 	18.0 	15.120 
2007 	3 	12 	23.0 	22.370 
2007 	4 	17 	23.0 	8.300 
2007 	5 	14 	30.0 	2.590 
2007 	6 	18 	23.0 	0.470 
2007 	7 	16 	22.0 	6.100 
2007 	8 	13 	31.0 	6.160 
2007 	9 	11 	25.0 	4.830 
2007 	10 	16 	27.0 	7.820 
2007 	11 	19 	34.0 	6.700 
2007 	12 	11 	33.0 	18.130 
2008 	1 	28 	28.0 	13.730 
2008 	2 	18 	28.0 	13.190 
2008 	3 	10 	32.0 	9.910 
2008 	4 	14 	36.0 	9.270 
2008 	5 	20 	36.0 	3.310 
2008 	6 	17 	27.0 	0.620 
2008 	7 	14 	27.0 	0.690 
2008 	8 	13 	24.0 	1.300 
2008 	9 	16 	22.0 	1.670 
2008 	10 	15 	25.0 	2.770 
2008 	11 	11 	28.0 	6.370 
2008 	12 	15 	24.0 	14.250 
2009 	1 	13 	23.0 	9.470 
2009 	2 	16 	19.0 	5.450 
2009 	3 	16 	24.0 	8.370 
2009 	4 	15 	26.0 	8.440 
2009 	5 	25 	32.0 	2.390 
2009 	6 	15 	29.0 	1.910 
2009 	7 	13 	26.0 	1.490 
2009 	8 	10 	28.0 	0.840 
2009 	9 	14 	25.0 	0.890 
2009 	10 	12 	19.0 	1.070 
2009 	11 	16 	16.0 	1.490 
2009 	12 	14 	20.0 	3.040 
2010 	1 	18 	21.0 	2.780 
2010 	2 	15 	21.0 	2.120 
2010 	3 	15 	22.0 	4.430 
2010 	4 	13 	24.0 	17.890 
2010 	5 	17 	28.0 	5.690 
2010 	6 	14 	29.0 	3.120 
2010 	7 	20 	27.0 	0.780 
2010 	8 	16 	21.0 	2.570 
2010 	9 	15 	26.0 	1.980 
2010 	10 	18 	22.0 	2.490 
2010 	11 	16 	24.0 	8.110 
2010 	12 	13 	24.0 	21.400 
2011 	1 	17 	31.0 	12.650 
2011 	2 	14 	26.0 	19.380 
2011 	3 	16 	27.0 	12.430 
2011 	4 	11 	29.0 	15.070 
2011 	5 	16 	40.0 	2.570 
2011 	6 	13 	33.0 	1.000 
2011 	7 	18 	28.0 	1.240 
2011 	8 	22 	43.0 	5.660 
2011 	9 	12 	47.0 	4.990 
2011 	10 	17 	45.0 	5.410 
2011 	11 	14 	39.0 	4.500 
2011 	12 	12 	39.0 	7.250 
2012 	1 	17 	29.0 	19.500 
2012 	2 	14 	28.0 	8.420 
2012 	3 	14 	24.0 	10.600 
2012 	4 	16 	28.0 	5.860 
2012 	5 	14 	33.0 	3.500 
2012 	6 	11 	29.0 	0.850 
2012 	7 	17 	31.0 	0.660 
2012 	8 	13 	31.0 	0.650 
2012 	9 	17 	28.0 	0.280 
2012 	10 	15 	26.0 	1.640 
2012 	11 	19 	22.0 	4.400 
2012 	12 	17 	24.0 	6.840 
2013 	1 	16 	21.0 	18.810 
2013 	2 	18 	21.0 	9.070 
2013 	3 	13 	23.0 	5.910 
2013 	4 	15 	25.0 	6.120 
2013 	5 	15 	26.0 	5.500 
2013 	6 	17 	35.0 	2.370 
2013 	7 	16 	32.0 	1.330 
2013 	8 	19 	25.0 	0.560 
2013 	9 	17 	24.0 	0.690 
2013 	10 	14 	19.0 	0.440 
2013 	11 	18 	15.0 	2.160 
2013 	12 	16 	19.0 	4.350 
2014 	1 	13 	21.0 	10.300 
2014 	2 	17 	19.6 	14.190 
2014 	3 	17 	21.0 	7.380 
2014 	4 	9 	24.0 	4.970 
2014 	5 	19 	29.1 	3.540 
2014 	6 	16 	30.5 	1.520 
2014 	7 	14 	29.2 	1.550 
2014 	8 	18 	27.6 	4.310 
2014 	9 	15 	33.6 	3.340 
2014 	10 	13 	28.0 	2.650 
2014 	11 	17 	42.1 	8.570 
2014 	12 	15 	32.1 	13.360 
2015 	1 	19 	28.9 	18.500 
2015 	2 	16 	26.6 	14.970 
2015 	3 	16 	28.2 	11.490 
2015 	4 	13 	32.2 	10.400 
2015 	5 	18 	38.0 	6.920 
2015 	6 	15 	38.7 	3.300 
2015 	7 	13 	36.8 	2.140 
2015 	8 	18 	33.2 	0.800 
2015 	9 	14 	27.6 	0.500 
2015 	10 	19 	25.3 	0.420 
2015 	11 	16 	24.4 	0.490 
2015 	12 	15 	17.8 	2.110 
2016 	1 	18 	19.6 	3.470 
2016 	2 	15 	20.7 	8.020 
2016 	3 	14 	16.6 	7.340 
2016 	4 	18 	22.4 	4.780 
2016 	5 	16 	25.5 	3.150 
2016 	6 	13 	29.1 	0.950 
2016 	7 	18 	25.7 	0.930 
2016 	8 	29 	23.5 	1.140 
2016 	9 	19 	20.8 	0.290 
2016 	10 	17 	15.7 	0.740 
2016 	11 	14 	23.0 	8.740 
2016 	12 	12 	22.0 	10.160 
2017 	1 	16 	21.1 	8.740 
2017 	2 	13 	17.0 	6.730 
2017 	3 	13 	16.6 	9.220 
2017 	4 	20 	23.2 	6.030 
2017 	5 	15 	24.2 	2.390 
2017 	6 	12 	22.7 	1.020 
2017 	7 	17 	25.7 	0.840 
2017 	8 	15 	23.9 	0.640 
2017 	9 	18 	17.7 	1.800 
2017 	10 	16 	17.7 	3.170 
2017 	11 	13 	33.0 	9.440 
2017 	12 	20 	29.8 	20.080 
2018 	1 	15 	27.9 	21.020 
2018 	2 	12 	26.4 	16.890 
2018 	3 	12 	35.5 	10.850 
2018 	4 	16 	35.1 	14.170 
2018 	5 	14 	47.1 	5.050 
2018 	6 	11 	42.4 	0.600 
2018 	7 	16 	36.4 	0.440 
