Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	18 	20.0 	10.335 
2007 	2 	22 	17.0 	9.894 
2007 	3 	8 	43.0 	29.357 
2007 	4 	16 	25.0 	2.350 
2007 	5 	15 	16.0 	0.890 
2007 	6 	17 	75.0 	0.422 
2007 	7 	18 	21.0 	6.323 
2007 	8 	15 	23.0 	4.371 
2007 	9 	17 	28.0 	1.424 
2007 	10 	16 	16.0 	3.893 
2007 	11 	14 	25.0 	6.298 
2007 	12 	13 	25.0 	11.664 
2008 	1 	15 	22.0 	8.594 
2008 	2 	14 	20.0 	6.778 
2008 	3 	13 	23.0 	5.509 
2008 	4 	14 	22.0 	5.764 
2008 	5 	14 	24.0 	2.263 
2008 	6 	14 	41.0 	0.484 
2008 	7 	15 	14.0 	0.442 
2008 	8 	16 	20.0 	2.280 
2008 	9 	15 	17.0 	1.428 
2008 	10 	21 	18.0 	2.999 
2008 	11 	18 	19.0 	8.581 
2008 	12 	16 	18.0 	13.655 
2009 	1 	14 	15.0 	5.751 
2009 	2 	16 	24.0 	3.893 
2009 	3 	15 	16.0 	7.771 
2009 	4 	17 	18.0 	2.994 
2009 	5 	18 	21.0 	1.402 
2009 	6 	21 	22.0 	1.467 
2009 	7 	24 	21.0 	1.012 
2009 	8 	18 	18.0 	0.421 
2009 	9 	15 	18.0 	0.435 
2009 	10 	15 	14.0 	0.692 
2009 	11 	16 	14.0 	2.206 
2009 	12 	17 	14.0 	3.946 
2010 	1 	18 	16.0 	3.091 
2010 	2 	16 	14.0 	1.697 
2010 	3 	15 	24.0 	3.606 
2010 	4 	19 	13.0 	5.567 
2010 	5 	17 	16.0 	4.743 
2010 	6 	15 	22.0 	1.222 
2010 	7 	15 	27.0 	0.424 
2010 	8 	16 	23.0 	1.485 
2010 	9 	16 	19.0 	1.661 
2010 	10 	18 	16.0 	1.433 
2010 	11 	17 	19.0 	8.339 
2010 	12 	20 	20.0 	6.776 
2011 	1 	18 	49.0 	14.724 
2011 	2 	20 	18.0 	10.405 
2011 	3 	17 	21.0 	11.346 
2011 	4 	18 	22.0 	5.687 
2011 	5 	17 	33.0 	0.945 
2011 	6 	20 	26.0 	0.711 
2011 	7 	18 	5.0 	2.163 
2011 	8 	15 	30.0 	2.942 
2011 	9 	19 	27.0 	5.319 
2011 	10 	17 	21.0 	1.686 
2011 	11 	29 	23.0 	1.353 
2011 	12 	27 	23.0 	9.250 
2012 	1 	23 	18.0 	10.423 
2012 	2 	21 	20.0 	5.728 
2012 	3 	19 	18.0 	4.985 
2012 	4 	18 	22.0 	3.513 
2012 	5 	21 	24.0 	1.010 
2012 	6 	20 	21.0 	0.446 
2012 	7 	16 	24.0 	1.884 
2012 	8 	20 	22.0 	0.395 
2012 	9 	20 	16.0 	0.267 
2012 	10 	17 	21.0 	4.755 
2012 	11 	19 	14.0 	4.973 
2013 	1 	21 	13.0 	7.853 
2013 	2 	25 	14.0 	5.555 
2013 	3 	25 	15.0 	2.950 
2013 	4 	15 	35.0 	18.511 
2013 	5 	23 	41.0 	3.591 
2013 	6 	23 	24.0 	1.221 
2013 	7 	19 	24.0 	0.982 
2013 	8 	15 	21.0 	0.754 
2013 	9 	18 	15.0 	0.519 
2013 	10 	15 	22.0 	0.340 
2013 	11 	22 	21.0 	4.665 
2013 	12 	16 	15.0 	5.571 
2014 	1 	21 	14.0 	6.956 
2014 	2 	19 	20.8 	11.718 
2014 	3 	21 	21.5 	2.997 
2014 	4 	15 	19.9 	5.260 
2014 	5 	21 	24.5 	3.041 
2014 	6 	23 	31.5 	0.968 
2014 	7 	17 	30.3 	1.482 
2014 	8 	18 	36.1 	4.474 
2014 	9 	17 	20.4 	0.997 
2014 	10 	26 	33.5 	6.907 
2014 	11 	25 	25.3 	12.355 
2014 	12 	16 	26.7 	11.432 
2015 	1 	19 	28.8 	13.901 
2015 	2 	10 	18.9 	11.377 
2015 	3 	19 	21.9 	3.994 
2015 	4 	16 	24.4 	4.403 
2015 	5 	19 	27.0 	4.774 
2015 	6 	17 	23.6 	1.119 
2015 	7 	20 	24.6 	0.785 
2015 	8 	25 	29.9 	0.439 
2015 	9 	17 	16.1 	0.588 
2015 	10 	14 	18.6 	0.297 
2015 	11 	18 	19.5 	0.683 
2015 	12 	10 	13.0 	1.254 
2016 	1 	19 	14.4 	1.468 
2016 	2 	16 	12.1 	5.821 
2016 	3 	21 	9.9 	3.678 
2016 	4 	18 	13.4 	1.668 
2016 	5 	12 	16.6 	1.225 
2016 	6 	16 	21.3 	0.959 
2016 	7 	14 	16.4 	0.719 
2016 	8 	29 	22.3 	0.662 
2016 	9 	21 	14.0 	0.306 
2016 	10 	18 	14.0 	0.440 
2016 	11 	22 	19.4 	19.761 
2016 	12 	20 	15.1 	6.326 
2017 	1 	30 	13.4 	4.932 
2017 	2 	20 	14.8 	5.814 
2017 	3 	23 	14.8 	7.543 
2017 	4 	19 	17.9 	3.470 
2017 	5 	17 	20.9 	0.969 
2017 	6 	14 	18.3 	0.700 
2017 	7 	13 	19.5 	0.779 
2017 	8 	23 	13.0 	0.536 
2017 	9 	26 	18.5 	1.321 
2017 	10 	25 	59.1 	12.903 
2017 	11 	24 	22.1 	7.001 
2017 	12 	19 	27.3 	14.654 
2018 	1 	18 	19.4 	10.494 
2018 	2 	15 	18.6 	10.480 
2018 	3 	19 	24.1 	11.482 
2018 	4 	17 	21.9 	10.500 
2018 	5 	18 	37.8 	1.149 
2018 	6 	19 	31.6 	0.425 
2018 	7 	23 	19.6 	0.202 
2018 	9 	6 	16.4 	0.632 
2018 	9 	18 	18.9 	0.574 
2018 	10 	23 	19.4 	0.316 
2018 	11 	22 	13.0 	1.195 
2018 	12 	17 	15.3 	3.599 			
