Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	16 	26.0 	239.091 
2007 	2 	15 	12.0 	85.427 
2007 	3 	14 	14.0 	99.454 
2007 	4 	17 	16.0 	36.005 
2007 	5 	14 	11.0 	38.582 
2007 	6 	13 	16.0 	20.796 
2007 	7 	17 	13.0 	89.385 
2007 	8 	14 	13.0 	63.603 
2007 	10 	16 	19.0 	52.752 
2007 	11 	13 	12.0 	54.859 
2007 	12 	19 	16.0 	70.732 
2008 	1 	16 	67.0 	134.718 
2008 	2 	12 	15.0 	128.558 
2008 	3 	18 	22.0 	135.354 
2008 	4 	14 	16.0 	82.096 
2008 	5 	13 	11.0 	25.554 
2008 	6 	17 	25.0 	14.394 
2008 	7 	8 	15.0 	16.872 
2008 	8 	19 	23.0 	60.817 
2008 	9 	16 	20.0 	73.037 
2008 	10 	14 	20.0 	68.835 
2008 	11 	18 	22.0 	190.226 
2008 	12 	16 	13.0 	83.149 
2009 	1 	15 	22.0 	80.648 
2009 	2 	18 	13.0 	34.828 
2009 	3 	17 	16.0 	45.784 
2009 	4 	14 	12.0 	41.006 
2009 	5 	12 	15.0 	28.285 
2009 	6 	16 	16.0 	30.958 
2009 	7 	21 	17.0 	27.441 
2009 	8 	18 	21.0 	30.424 
2009 	9 	14 	22.0 	43.892 
2009 	10 	13 	15.0 	51.444 
2009 	11 	17 	21.0 	56.379 
2009 	12 	14 	14.0 	80.193 
2010 	1 	13 	13.0 	37.550 
2010 	2 	17 	10.0 	28.297 
2010 	3 	16 	13.0 	31.605 
2010 	4 	14 	15.0 	68.514 
2010 	5 	18 	14.0 	36.143 
2010 	6 	8 	13.0 	22.184 
2010 	7 	12 	15.0 	17.844 
2010 	8 	17 	29.0 	59.103 
2010 	9 	14 	27.0 	47.107 
2010 	10 	18 	14.0 	40.273 
2010 	11 	15 	38.0 	122.704 
2010 	12 	14 	11.0 	46.799 
2011 	1 	18 	44.0 	91.215 
2011 	2 	14 	15.0 	93.788 
2011 	3 	17 	15.0 	55.749 
2011 	4 	13 	17.0 	112.041 
2011 	5 	17 	13.0 	25.664 
2011 	6 	15 	19.0 	32.923 
2011 	7 	12 	15.0 	25.086 
2011 	8 	16 	48.0 	60.484 
2011 	9 	14 	24.0 	114.123 
2011 	10 	13 	24.0 	96.839 
2011 	11 	14 	17.0 	47.975 
2011 	12 	14 	36.0 	280.580 
2012 	1 	17 	35.0 	180.452 
2012 	2 	13 	12.0 	52.135 
2012 	3 	13 	14.0 	58.606 
2012 	4 	18 	15.0 	48.089 
2012 	5 	15 	16.0 	67.293 
2012 	6 	13 	17.0 	32.607 
2012 	7 	10 	27.0 	57.059 
2012 	8 	13 	16.0 	33.386 
2012 	9 	18 	22.0 	57.673 
2012 	10 	16 	20.0 	122.409 
2012 	11 	14 	35.0 	102.275 
2012 	12 	13 	14.0 	50.002 
2013 	1 	13 	14.0 	104.260 
2013 	2 	13 	12.0 	42.955 
2013 	3 	13 	20.0 	34.291 
2013 	4 	18 	24.0 	32.278 
2013 	5 	16 	15.0 	25.117 
2013 	6 	19 	18.0 	22.164 
