Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	15.0 	0.477 
2007 	3 	14 	15.0 	0.421 
2007 	4 	16 	64.0 	0.423 
2007 	4 	18 	48.0 	0.362 
2007 	4 	23 	26.0 	0.270 
2007 	4 	25 	21.0 	0.239 
2007 	5 	9 	13.0 	0.151 
2007 	5 	23 	15.0 	0.597 
2007 	6 	13 	17.0 	0.153 
2007 	8 	15 	28.0 	0.161 
2007 	9 	17 	32.0 	0.688 
2007 	10 	16 	11.0 	0.546 
2007 	11 	19 	12.0 	0.538 
2008 	1 	15 	17.0 	0.467 
2008 	3 	12 	22.0 	0.411 
2008 	4 	21 	29.0 	0.745 
2008 	4 	28 	84.0 	1.804 
2008 	5 	2 	52.0 	2.726 
2008 	5 	5 	48.0 	1.621 
2008 	5 	7 	37.0 	1.112 
2008 	5 	13 	26.0 	0.610 
2008 	5 	19 	18.0 	0.416 
2008 	8 	12 	40.0 	0.120 
2008 	9 	15 	28.0 	0.261 
2008 	10 	15 	30.0 	0.220 
2008 	11 	17 	24.0 	0.263 
2009 	1 	14 	25.0 	0.437 
2009 	2 	16 	29.0 	0.139 
2009 	3 	16 	26.0 	0.086 
2009 	4 	14 	63.0 	0.566 
2009 	4 	27 	69.0 	3.318 
2009 	5 	4 	73.0 	2.614 
2009 	5 	6 	56.0 	2.236 
2009 	5 	11 	34.0 	1.258 
2009 	5 	18 	45.0 	0.507 
2009 	5 	25 	44.0 	0.264 
2009 	6 	8 	39.0 	0.162 
2009 	7 	8 	38.0 	0.088 
2009 	8 	17 	50.0 	0.078 
2009 	9 	16 	41.0 	0.067 
2009 	10 	15 	23.0 	0.082 
2009 	11 	17 	47.0 	0.410 
2009 	12 	15 	25.0 	0.644 
2010 	1 	18 	22.0 	0.148 
2010 	2 	15 	22.0 	0.087 
2010 	3 	16 	22.0 	0.063 
2010 	4 	15 	48.0 	0.919 
2010 	4 	19 	45.0 	0.978 
2010 	4 	27 	88.0 	1.680 
2010 	4 	29 	40.0 	1.804 
2010 	5 	3 	44.0 	2.248 
2010 	5 	6 	31.0 	1.891 
2010 	5 	11 	28.0 	2.145 
2010 	5 	17 	30.0 	2.336 
2010 	5 	26 	26.0 	0.499 
2010 	6 	14 	30.0 	0.158 
2010 	7 	14 	45.0 	0.108 
2010 	8 	18 	43.0 	0.084 
2010 	9 	16 	44.0 	0.101 
2010 	10 	14 	35.0 	0.075 
2010 	11 	15 	22.0 	0.161 
2010 	12 	15 	25.0 	0.074 
2011 	1 	18 	22.0 	0.053 
2011 	2 	23 	22.0 	0.063 
2011 	3 	17 	21.0 	0.170 
2011 	4 	13 	62.0 	1.187 
