Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	18 	28.0 	82.940 
2007 	2 	15 	20.0 	82.031 
2007 	3 	20 	29.0 	60.594 
2007 	5 	17 	25.0 	12.208 
2007 	6 	19 	24.0 	9.720 
2007 	7 	30 	24.0 	51.713 
2007 	8 	15 	23.0 	43.537 
2007 	10 	15 	21.0 	36.060 
2007 	11 	20 	23.0 	35.420 
2007 	12 	11 	31.0 	48.971 
2008 	1 	21 	27.0 	48.295 
2008 	2 	25 	26.0 	59.002 
2008 	3 	26 	33.0 	54.893 
2008 	4 	17 	27.0 	44.107 
2008 	5 	18 	28.0 	25.038 
2008 	6 	16 	28.0 	9.193 
2008 	7 	15 	23.0 	5.734 
2008 	10 	14 	27.0 	16.626 
2008 	11 	19 	28.0 	26.866 
2008 	12 	15 	27.0 	53.774 
2009 	1 	15 	24.0 	52.198 
2009 	2 	27 	20.0 	29.867 
2009 	3 	17 	21.0 	37.462 
2009 	4 	21 	28.0 	33.492 
2009 	5 	18 	33.0 	13.096 
2009 	6 	16 	39.0 	10.228 
2009 	7 	15 	31.0 	7.645 
2009 	9 	4 	35.0 	11.365 
2009 	9 	15 	33.0 	13.920 
2009 	10 	15 	31.0 	16.879 
2009 	11 	11 	24.0 	18.374 
2009 	12 	15 	25.0 	23.493 
2010 	1 	14 	23.0 	35.883 
2010 	2 	16 	26.0 	23.421 
2010 	3 	18 	24.0 	21.390 
2010 	4 	19 	20.0 	53.566 
2010 	5 	17 	25.0 	29.590 
2010 	6 	17 	33.0 	14.955 
2010 	7 	15 	44.0 	14.062 
2010 	8 	16 	30.0 	13.140 
2010 	9 	15 	25.0 	16.156 
2010 	10 	20 	26.0 	31.933 
2010 	11 	9 	23.0 	36.944 
2010 	12 	13 	21.0 	67.784 
2011 	1 	17 	27.0 	45.569 
2011 	2 	16 	21.0 	71.028 
2011 	3 	17 	20.0 	41.745 
2011 	4 	19 	25.0 	52.016 
2011 	5 	17 	26.0 	19.424 
2011 	6 	20 	28.0 	11.056 
2011 	7 	14 	29.0 	15.681 
2011 	8 	15 	33.0 	22.790 
2011 	9 	19 	32.0 	26.894 
2011 	10 	19 	31.0 	32.107 
2011 	11 	15 	32.0 	31.641 
2011 	12 	13 	29.0 	41.354 
2012 	1 	16 	27.0 	73.521 
2012 	2 	15 	23.0 	50.764 
2012 	3 	15 	22.0 	45.730 
2012 	4 	17 	24.0 	26.115 
2012 	5 	21 	38.0 	13.781 
2012 	6 	19 	28.0 	11.164 
2012 	7 	25 	31.0 	20.572 
2012 	8 	19 	28.0 	18.684 
2012 	9 	18 	21.0 	11.441 
2012 	10 	24 	24.0 	27.177 
2012 	11 	22 	22.0 	32.887 
2012 	12 	20 	21.0 	39.556 
2013 	1 	16 	21.0 	58.116 
2013 	2 	11 	19.0 	45.879 
2013 	3 	18 	18.0 	27.402 
2013 	4 	18 	21.0 	18.141 
2013 	5 	16 	23.0 	13.316 
2013 	6 	19 	30.0 	15.222 
2013 	7 	16 	23.0 	7.487 
2013 	8 	20 	24.0 	8.198 
2013 	9 	18 	26.0 	11.711 
2013 	10 	17 	17.0 	10.310 
2013 	11 	13 	22.0 	13.375 
2013 	12 	17 	21.0 	15.418 
2014 	1 	16 	24.0 	25.217 
2014 	2 	26 	19.7 	36.357 
2014 	3 	25 	23.8 	39.964 
2014 	4 	28 	25.5 	25.172 
2014 	5 	15 	25.9 	20.556 
2014 	6 	17 	26.7 	16.398 
2014 	7 	17 	32.3 	8.495 
2014 	8 	12 	25.7 	13.632 
2014 	9 	15 	21.7 	13.765 
2014 	10 	15 	24.1 	20.135 
2014 	11 	19 	28.3 	30.671 
2014 	12 	15 	21.8 	27.658 
2015 	1 	14 	27.8 	59.270 
2015 	2 	18 	21.7 	56.470 
2015 	3 	16 	21.1 	51.493 
2015 	4 	29 	28.4 	33.927 
2015 	5 	11 	27.0 	27.365 
2015 	6 	15 	30.8 	16.638 
2015 	7 	14 	29.4 	16.271 
2015 	8 	19 	23.9 	9.399 
2015 	9 	14 	19.4 	11.258 
2015 	10 	22 	18.0 	13.943 
2015 	11 	23 	21.9 	16.164 
2015 	12 	17 	21.3 	18.816 
2016 	1 	19 	19.6 	25.280 
2016 	2 	15 	20.2 	32.833 
2016 	3 	21 	20.5 	44.295 
2016 	4 	12 	20.7 	32.515 
2016 	5 	11 	22.7 	18.023 
2016 	6 	16 	23.7 	10.679 
2016 	7 	13 	25.2 	8.997 
2016 	8 	17 	21.3 	8.566 
2016 	9 	22 	16.7 	8.374 
2016 	10 	25 	14.6 	7.804 
2016 	11 	21 	17.4 	9.291 
2016 	12 	19 	16.0 	8.214 
2017 	1 	16 	15.7 	8.531 
2017 	2 	13 	21.8 	8.171 
2017 	3 	20 	14.6 	9.205 
2017 	4 	19 	18.7 	9.967 
2017 	5 	17 	21.0 	9.091 
2017 	6 	14 	26.5 	8.731 
2017 	7 	13 	22.1 	8.524 
2017 	8 	15 	18.6 	8.570 
2017 	9 	8 	17.2 	8.749 
2017 	10 	23 	26.4 	26.159 
2017 	11 	16 	21.4 	31.593 
2017 	12 	14 	26.2 	61.331 
2018 	1 	15 	27.7 	96.866 
2018 	2 	14 	21.8 	83.017 
2018 	3 	14 	23.2 	48.578 
2018 	4 	16 	23.6 	32.851 
2018 	5 	21 	27.0 	20.980 
2018 	6 	14 	24.2 	10.858 
2018 	7 	17 	26.1 	7.889 
2018 	8 	20 	15.2 	3.520 
2018 	9 	19 	13.9 	3.661 
2018 	10 	17 	13.9 	3.651 
2018 	11 	22 	16.5 	3.980 
2018 	12 	17 	16.4 	4.469 
