Year	Month	Day	Conc_μg_l	Q_m3_s
2007 	1 	15 	29.0 	249.278 
2007 	2 	14 	14.0 	163.192 
2007 	3 	13 	13.0 	132.116 
2007 	4 	16 	14.0 	95.360 
2007 	5 	15 	12.0 	59.737 
2007 	6 	14 	11.0 	31.360 
2007 	7 	16 	18.0 	147.597 
2007 	8 	15 	13.0 	120.043 
2007 	9 	17 	13.0 	100.082 
2007 	10 	15 	13.0 	119.736 
2007 	11 	14 	21.0 	84.742 
2007 	12 	17 	20.0 	76.860 
2008 	1 	15 	20.0 	130.131 
2008 	2 	13 	20.0 	174.465 
2008 	3 	12 	18.0 	151.304 
2008 	4 	15 	22.0 	109.820 
2008 	5 	14 	20.0 	45.310 
2008 	6 	16 	19.0 	39.954 
2008 	7 	9 	22.0 	27.831 
2008 	8 	18 	25.0 	48.468 
2008 	9 	15 	20.0 	68.554 
2008 	10 	13 	21.0 	86.394 
2008 	11 	17 	20.0 	152.880 
2008 	12 	15 	16.0 	153.169 
2009 	1 	14 	16.0 	86.700 
2009 	2 	16 	16.0 	82.400 
2009 	3 	16 	15.0 	82.800 
2009 	4 	16 	16.0 	83.900 
2009 	5 	13 	22.0 	57.200 
2009 	6 	15 	24.0 	58.900 
2009 	7 	20 	31.0 	77.100 
2009 	8 	17 	31.0 	70.900 
2009 	9 	16 	23.0 	24.100 
2009 	10 	14 	21.0 	80.100 
2009 	11 	16 	17.0 	79.500 
2009 	12 	15 	17.0 	118.800 
2010 	1 	14 	16.0 	63.210 
2010 	2 	16 	14.0 	51.529 
2010 	3 	15 	16.0 	68.090 
2010 	4 	15 	18.0 	111.500 
2010 	5 	17 	17.0 	79.160 
2010 	6 	9 	19.0 	59.640 
2010 	7 	13 	26.0 	35.751 
2010 	8 	16 	25.0 	75.810 
2010 	9 	15 	17.0 	88.420 
2010 	10 	19 	16.0 	80.940 
2010 	11 	16 	17.0 	162.110 
2010 	12 	15 	15.0 	104.340 
2011 	1 	17 	16.0 	124.700 
2011 	2 	15 	17.0 	128.500 
2011 	3 	14 	14.0 	113.100 
2011 	4 	14 	17.0 	126.900 
2011 	5 	16 	18.0 	25.900 
2011 	6 	14 	21.0 	23.800 
2011 	7 	13 	26.0 	60.000 
2011 	8 	17 	28.0 	104.600 
2011 	9 	15 	24.0 	121.800 
2011 	10 	17 	19.0 	101.800 
2011 	11 	17 	18.0 	93.200 
2011 	12 	15 	19.0 	151.600 
2012 	1 	16 	22.0 	196.700 
2012 	2 	15 	15.0 	102.820 
2012 	3 	15 	16.0 	104.870 
2012 	4 	17 	20.0 	62.410 
2012 	5 	14 	18.0 	56.250 
2012 	6 	14 	20.0 	27.650 
2012 	7 	12 	24.0 	73.220 
2012 	8 	20 	22.0 	46.750 
2012 	9 	17 	21.0 	50.520 
2012 	10 	15 	20.0 	146.640 
2012 	11 	15 	17.0 	118.310 
2012 	12 	12 	15.0 	77.310 
2013 	1 	14 	16.0 	137.790 
2013 	2 	14 	17.0 	96.440 
2013 	3 	18 	15.0 	61.490 
2013 	4 	15 	19.0 	32.991 
2013 	5 	15 	19.0 	37.582 
2013 	6 	17 	22.0 	40.979 
2013 	7 	8 	22.0 	23.262 
2013 	8 	14 	48.0 	52.617 
2013 	9 	16 	21.0 	39.360 
2013 	10 	15 	17.0 	23.278 
2013 	11 	14 	17.0 	88.968 
2013 	12 	16 	16.0 	77.465 
2014 	1 	15 	18.0 	174.542 
2014 	2 	17 	13.5 	138.722 
2014 	3 	18 	15.7 	111.327 
2014 	4 	15 	17.6 	75.823 
2014 	5 	15 	21.7 	70.507 
2014 	6 	16 	26.0 	37.359 
2014 	7 	14 	27.4 	80.956 
2014 	8 	7 	22.2 	30.004 
