Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         4         0.02                0.97                7.51                
2005      1         10        0.03                1.0                 3.24                
2005      1         17        0.09                0.42                19.1                
2005      1         24        0.02                0.46                17.09               
2005      1         31        0.02                0.4                 16.29               
2005      2         7         0.04                1.1                 47.82               
2005      2         14        0.04                0.92                11.25               
2005      2         21        0.07                0.49                20.5                
2005      2         28        0.04                0.42                19.5                
2005      3         7         0.03                0.4                 17.43               
2005      3         15        0.02                0.41                18.03               
2005      3         21        0.03                0.32                16.19               
2005      3         29        0.01                0.45                19.32               
2005      4         4         0.03                0.38                16.62               
2005      4         11        0.02                0.43                22.86               
2005      4         18        0.02                0.44                21.72               
2005      4         26        0.01                0.34                17.17               
2005      5         3         0.01                0.32                18.72               
2005      5         9         0.03                0.34                18.06               
2005      5         16        0.02                0.37                15.78               
2005      5         23        0.04                0.58                2.72                
2005      5         30        0.01                0.4                 11.68               
2005      6         6         0.04                0.46                22.71               
2005      6         14        0.02                0.45                30.3                
2005      6         20        0.11                0.58                40.75               
2005      6         27        0.14                0.64                37.44               
2005      7         4         0.12                0.7                 30.3                
2005      7         11        0.1                 0.61                33.5                
2005      7         18        0.12                0.65                33.96               
2005      7         25        0.55                0.6                 37.29               
2005      8         1         0.07                0.65                36.95               
2005      8         8         0.09                0.65                28.04               
2005      8         15        0.11                0.52                33.04               
2005      8         22        0.11                0.57                39.87               
2005      8         29        0.06                0.63                38.75               
2005      9         5         0.07                0.61                39.08               
2005      9         12        0.02                0.58                34.97               
2005      9         19        0.03                0.63                34.06               
2005      9         26        0.08                0.6                 37.51               
2005      10        3         0.06                0.59                34.03               
2005      10        10        0.07                0.49                40.05               
2005      10        17        0.59                0.64                36.4                
2005      10        24        0.08                0.7                 25.97               
2005      10        31        0.05                0.72                21.72               
2005      11        7         0.1                 0.7                 73.46               
2005      11        14        0.008               0.72                22.58               
2005      11        21        0.01                0.71                19.74               
2005      11        28        0.008               0.68                17.79               
2005      12        6         0.003               0.35                22.08               
2005      12        12        0.03                0.69                19.64               
2005      12        19        0.08                0.43                17.73               
2005      12        28        0.07                0.33                18.51               
2006      1         3         0.04                0.36                16.1                
2006      1         9         0.01                0.25                16.61               
2006      1         16        0.003               0.52                17.07               
2006      1         23        0.01                0.48                13.93               
2006      1         30        0.003               0.35                11.71               
2006      2         6         0.003               0.64                24.3                
2006      2         13        0.006               0.41                13.44               
2006      2         20        0.07                0.22                12.1                
2006      2         28        0.007               0.57                16.77               
2006      3         6         0.11                0.47                15.15               
2006      3         14        0.03                0.39                21.89               
2006      3         15        0.03                0.39                20.25               
2006      3         20        0.02                0.22                15.21               
2006      3         27        0.03                0.14                15.4                
2006      4         3         0.01                0.5                 19.94               
2006      4         10        0.01                0.26                13.9                
2006      4         18        0.005               0.29                12.48               
2006      4         25        0.04                0.42                12.74               
2006      5         1         0.009               0.45                15.68               
2006      5         8         0.01                0.36                19.35               
2006      5         15        0.02                0.69                18.54               
2006      5         22        0.01                0.41                8.83                
2006      5         29        0.02                0.49                3.41                
2006      6         5         0.03                0.54                3.56                
2006      6         13        0.15                0.43                2.71                
2006      6         19        0.008               0.27                10.29               
2006      6         26        0.01                0.35                19.52               
2006      7         3         0.01                0.44                31.47               
2006      7         10        0.03                1.8                 20.05               
2006      7         17        0.04                0.59                23.4                
2006      7         24        0.07                0.58                19.51               
2006      7         31        0.03                0.63                20.19               
2006      8         7         0.03                0.62                16.3                
2006      8         14        0.03                0.44                24.25               
2006      8         21        0.04                0.65                14.54               
2006      8         28        0.01                0.69                5.72                
2006      9         4         0.03                0.45                24.01               
2006      9         11        0.02                0.6                 11.61               
2006      9         18        0.04                0.58                25.55               
2006      9         25        0.04                0.33                22.44               
2006      10        2         0.01                0.31                13.42               
2006      10        9         0.02                0.39                6.43                
2006      10        16        0.03                0.46                2.18                
2006      10        23        0.03                0.57                1.63                
2006      10        30        0.03                0.64                1.35                
2006      11        6         0.04                0.27                1.84                
2006      11        13        0.01                0.63                1.37                
2006      11        20        0.009               0.77                0.41                
2006      11        27        0.02                0.65                0.31                
2006      12        4         0.01                0.64                0.07                
2006      12        11        0.02                0.21                10.7                
2006      12        18        0.01                0.35                10.12               
2006      12        27        0.01                0.27                8.15                
2007      1         2         0.01                0.32                10.35               
2007      1         8         0.02                0.46                21.35               
2007      1         15        0.01                0.36                10.72               
2007      1         23        0.01                0.18                12.43               
2007      1         29        0.03                0.16                10.71               
2007      2         5         0.01                1.1                 9.69                
2007      2         12        0.01                0.12                11.15               
2007      2         19        0.004               0.11                9.65                
2007      2         26        0.02                0.19                8.83                
2007      3         5         0.01                0.36                10.61               
2007      3         13        0.01                0.26                9.66                
2007      3         19        0.02                0.3                 9.99                
2007      3         26        0.01                0.34                9.81                
2007      4         2         0.003               0.14                9.97                
2007      4         10        0.005               0.34                9.83                
2007      4         16        0.009               0.21                13.98               
2007      4         23        0.01                0.51                81.12               
2007      4         30        0.03                0.61                13.21               
2007      5         7         0.02                0.77                1.26                
2007      5         14        0.02                0.88                1.56                
2007      5         21        0.01                0.93                3.41                
2007      5         28        0.006               0.99                1.93                
2007      6         4         0.03                0.86                4.32                
2007      6         12        0.01                0.79                1.99                
2007      6         18        0.03                0.32                2.3                 
2007      6         25        0.03                0.69                2.08                
2007      7         2         0.006               0.57                2.18                
2007      7         9         0.01                0.6                 2.82                
2007      7         16        0.003               0.47                3.82                
2007      7         23        0.02                0.57                4.36                
2007      7         30        0.006               0.37                4.33                
2007      8         6         0.01                0.39                3.93                
2007      8         13        0.04                0.46                3.18                
2007      8         20        0.01                0.52                3.41                
2007      8         27        0.009               0.31                2.96                
2007      9         3         0.01                0.57                2.69                
2007      9         10        0.007               0.53                2.26                
2007      9         17        0.01                0.57                1.74                
2007      9         24        0.02                0.63                1.2                 
2007      10        1         0.01                0.59                1.0                 
2007      10        8         0.02                0.63                0.48                
2007      10        15        0.01                0.55                0.68                
2007      10        22        0.008               0.44                0.54                
2007      10        29        0.03                0.65                0.44                
2007      11        5         0.03                0.44                2.81                
2007      11        12        0.47                0.48                0.95                
2007      11        19        0.05                0.65                3.17                
2007      11        26        0.36                0.35                11.25               
2007      12        3         0.22                0.46                11.73               
2007      12        10        0.24                0.34                10.83               
2007      12        17        0.22                0.35                10.82               
2007      12        26        0.33                0.61                166.84              
2008      1         2         0.09                1.0                 18.02               
2008      1         7         0.05                0.66                11.51               
2008      1         14        0.1                 0.59                11.16               
2008      1         21        0.05                0.69                12.65               
2008      1         29        0.1                 0.48                11.04               
2008      2         4         0.05                0.5                 10.23               
2008      2         11        0.08                0.45                10.27               
2008      2         18        0.13                0.37                10.9                
2008      2         25        0.12                0.39                104.29              
2008      3         3         0.1                 0.39                38.33               
2008      3         11        0.07                0.5                 11.94               
2008      3         17        0.06                0.41                12.4                
2008      3         25        0.04                0.59                15.4                
2008      3         31        0.06                0.27                49.3                
2008      4         7         0.07                0.46                12.56               
2008      4         14        0.11                0.38                10.83               
2008      4         21        0.03                0.78                0.37                
2008      4         28        0.003               0.96                9.86                
2008      5         5         0.01                0.63                20.68               
2008      5         12        0.02                0.64                18.16               
2008      5         19        0.004               0.73                4.51                
2008      5         26        0.01                0.76                1.81                
2008      6         2         0.01                0.85                1.47                
2008      6         10        0.003               0.83                3.84                
2008      6         16        0.01                0.6                 1.1                 
2008      6         23        0.01                0.86                0.7                 
2008      7         1         0.003               0.86                0.89                
2008      7         7         0.008               1.1                 0.95                
2008      7         14        0.004               0.74                1.75                
2008      7         21        0.003               0.77                4.26                
2008      7         28        0.008               0.73                2.34                
2008      8         4         0.006               0.84                3.99                
2008      8         11        0.005               0.64                2.3                 
2008      8         18        0.009               0.64                1.08                
2008      8         25        0.003               0.64                0.78                
2008      9         1         0.01                0.77                4.13                
2008      9         8         0.01                0.7                 1.28                
2008      9         15        0.01                0.87                0.72                
2008      9         22        0.003               0.65                0.56                
2008      9         29        0.01                0.76                0.19                
2008      10        6         0.01                0.78                0.32                
2008      10        13        0.15                0.44                3.65                
2008      10        20        0.01                0.61                0.06                
2008      10        27        0.01                0.61                0.05                
2008      11        3         0.05                0.36                7.79                
2008      11        10        0.05                0.41                12.29               
2008      11        17        0.04                0.37                14.92               
2008      11        24        0.01                0.38                9.76                
2008      12        1         0.02                0.36                11.07               
2008      12        8         0.05                0.36                10.28               
2008      12        15        0.04                0.44                12.98               
2008      12        22        0.01                0.41                11.49               
2008      12        29        0.03                0.4                 11.89               
2009      1         5         0.02                0.37                11.63               
2009      1         12        0.003               0.38                11.28               
2009      1         19        0.01                0.35                11.37               
2009      1         27        0.01                0.36                10.76               
2009      2         2         0.003               0.34                14.9                
2009      2         9         0.003               0.31                26.36               
2009      2         16        0.005               0.37                11.78               
2009      2         23        0.003               0.37                10.23               
2009      3         2         0.003               0.35                9.94                
2009      3         10        0.003               0.31                12.26               
