Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d    
2005      1         17        0.19                0.95                4.05                
2005      1         18        0.19                0.95                4.22                
2005      2         7         0.4                 1.2                 35.42               
2005      3         7         0.35                0.84                8.28                
2005      4         11        0.14                0.49                5.27                
2005      5         9         0.18                0.44                5.0                 
2005      6         13        0.41                0.86                23.58               
2005      7         12        0.45                0.6                 14.16               
2005      8         1         1.4                 1.3                 42.84               
2005      9         13        1.0                 2.5                 411.29              
2005      10        11        0.5                 1.9                 243.43              
2005      11        7         0.5                 1.0                 10.59               
2005      12        13        0.55                0.92                6.09                
2006      1         17        0.12                0.51                2.0                 
2006      2         6         0.14                0.47                5.43                
2006      3         14        0.13                0.28                2.3                 
2006      4         10        0.19                0.35                2.28                
2006      5         16        0.62                0.78                18.03               
2006      6         19        0.77                0.65                10.94               
2006      7         18        1.6                 1.5                 44.53               
2006      8         14        0.75                0.8                 19.42               
2006      9         18        0.77                0.96                9.23                
2006      10        16        0.42                0.49                2.52                
2006      11        13        0.17                0.27                1.95                
2006      12        11        0.08                0.34                1.6                 
2007      1         17        0.04                0.41                1.54                
2007      2         13        0.13                0.2                 1.51                
2007      3         26        0.08                0.25                1.64                
2007      5         7         0.14                0.3                 2.05                
2007      5         29        0.21                0.42                3.94                
2007      6         18        0.98                0.79                10.66               
2007      7         16        3.2                 1.7                 102.95              
2007      8         21        1.5                 1.5                 96.09               
2007      9         18        1.0                 2.1                 147.97              
2007      10        16        0.79                1.3                 39.03               
2007      11        27        0.4                 1.2                 6.82                
2007      12        17        0.04                0.58                1.89                
2008      1         22        0.07                0.36                1.8                 
2008      2         26        0.06                0.31                1.32                
2008      3         25        0.08                0.27                1.66                
2008      4         21        0.11                0.24                1.68                
2008      5         28        0.21                0.74                4.47                
2008      6         23        0.19                0.66                6.82                
2008      7         22        2.1                 2.4                 113.61              
2008      8         26        0.96                1.6                 119.59              
2008      9         23        0.94                2.5                 167.47              
2008      10        22        0.73                1.2                 7.39                
2008      11        19        0.21                0.75                2.47                
2008      12        16        0.86                2.0                 52.97               
2009      1         21        0.08                0.36                1.64                
2009      2         17        0.04                0.3                 1.69                
2009      3         19        0.09                0.32                1.53                
2009      4         20        0.12                0.25                1.57                
2009      5         19        0.11                0.71                10.26               
2009      6         23        0.79                0.91                16.7                
2009      7         22        0.642               0.23                44.87               
2009      8         24        0.539               1.79                367.33              
2009      9         24        0.273               2.0                 118.03              
2009      10        21        0.193               1.56                59.65               
2009      11        16        0.277               0.67                4.53                
2009      12        14        0.131               0.65                5.11                
2010      1         18        0.078               0.15                2.13                
2010      3         23        0.128               0.14                1.69                
2010      4         21        0.222               0.43                4.09                
2010      5         19        0.072               0.74                13.39               
2010      6         23        0.818               0.24                43.44               
2010      7         20        1.0                 1.8                 93.64               
2010      8         30        0.69                1.9                 490.99              
2010      9         20        0.91                2.1                 150.07              
2010      10        28        0.42                1.5                 29.62               
2010      11        24        0.61                1.2                 13.09               
2010      12        22        1.0                 3.4                 87.36               
2011      1         11        0.23                1.2                 5.64                
2011      2         16        0.37                1.1                 6.92                
2011      3         22        0.5                 1.3                 7.63                
2011      4         19        0.2                 1.2                 23.77               
2011      5         17        0.61                1.5                 65.79               
2011      6         23        0.58                2.8                 1056.57             
2011      7         20        1.1                 2.3                 340.08              
2011      8         16        1.0                 1.6                 126.6               
2011      9         21        1.8                 1.5                 58.66               
2011      10        25        1.3                 1.4                 36.83               
2011      11        22        0.76                1.2                 13.39               
2011      12        19        0.22                1.0                 3.5                 
2012      1         24        0.13                0.72                1.81                
2012      2         13        0.16                0.48                2.1                 
2012      3         21        0.14                0.39                2.06                
2012      4         23        0.16                0.42                2.34                
2012      5         16        0.35                0.73                14.66               
2012      6         26        1.4                 2.0                 188.92              
2012      7         18        0.94                1.4                 101.71              
2012      8         21        0.67                1.8                 207.47              
2012      9         26        0.68                1.7                 87.46               
2012      10        29        0.58                1.2                 36.71               
2012      11        20        0.62                1.0                 11.68               
2012      12        19        0.37                1.1                 13.01               
2013      1         22        0.14                0.5                 1.61                
2013      2         25        0.087               0.41                1.8                 
2013      3         20        0.1                 0.29                1.7                 
2013      4         23        0.16                0.26                2.38                
2013      5         21        1.1                 0.7                 13.95               
2013      6         20        1.1                 0.8                 16.7                
2013      7         24        2.4                 1.4                 73.94               
2013      8         20        0.91                2.7                 1179.53             
2013      9         23        0.63                2.2                 326.34              
2013      10        21        0.69                1.2                 45.98               
2013      11        18        1.1                 1.4                 38.44               
2013      12        17        0.45                1.1                 13.81               
2014      1         21        0.13                1.1                 3.46                
2014      2         18        0.087               0.43                1.25                
2014      3         20        0.12                0.24                1.62                
2014      4         16        0.092               0.67                4.48                
2014      5         28        0.44                1.4                 18.18               
