Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         12        0.01                15.16               
2005      1         13        0.01                14.09               
2005      2         10        0.01                10.72               
2005      3         10        0.01                12.24               
2005      4         7         0.01                15.24               
2005      5         5         0.01                9.58                
2005      6         9         0.006               16.28               
2005      7         7         0.02                64.03               
2005      8         4         0.01                51.81               
2005      9         8         0.01                33.76               
2005      10        6         0.01                35.78               
2005      11        10        0.01                17.89               
2005      12        8         0.01                113.63              
2006      1         11        0.02                10.25               
2006      2         8         0.01                2.37                
2006      3         8         0.01                0.96                
2006      4         5         0.02                14.25               
2006      5         3         0.01                53.23               
2006      6         7         0.01                278.41              
2006      7         5         0.01                56.17               
2006      9         6         0.005               75.36               
2006      10        4         0.01                28.73               
2006      11        15        0.01                28.86               
2006      12        6         0.01                9.47                
2007      1         10        0.01                2.39                
2007      2         7         0.01                0.11                
2007      3         21        0.02                5.46                
2007      4         18        0.01                6.37                
2007      5         15        0.01                7.18                
2007      6         13        0.005               28.97               
2007      7         18        0.01                804.63              
2007      8         14        0.01                103.02              
2007      9         12        0.01                41.32               
2007      10        16        0.005               35.53               
2007      11        13        0.01                46.76               
2007      12        12        0.01                22.77               
2008      1         15        0.01                10.98               
2008      2         12        0.01                28.92               
2008      3         17        0.005               11.22               
2008      4         16        0.01                7.17                
2008      5         14        0.005               10.62               
2008      6         11        0.006               14.77               
2008      7         16        0.008               13.03               
2008      8         20        0.01                101.08              
2008      9         18        0.01                24.38               
2008      10        15        0.01                12.92               
2008      11        19        0.01                6.08                
2008      12        17        0.01                163.48              
2009      1         14        0.01                8.53                
2009      2         18        0.01                7.04                
2009      3         18        0.01                1.73                
2009      4         22        0.006               7.22                
2009      5         20        0.01                5.01                
2009      6         17        0.008               34.09               
2009      7         29        0.005               32.35               
2009      8         26        0.006               13.94               
2009      9         23        0.008               32.96               
2009      10        21        0.005               58.33               
2009      11        17        0.005               7.28                
2009      12        16        0.01                3.76                
2010      2         16        0.005               74.42               
2010      3         17        0.012               6.01                
2010      5         19        0.009               10.61               
2010      6         15        0.301               93.88               
2010      7         19        0.008               32.01               
2010      8         16        0.008               180.98              
2010      9         22        0.02                16.01               
2010      10        20        0.036               53.9                
2010      11        17        0.029               11.45               
2010      12        14        0.063               20.89               
2011      1         18        0.024               2.97                
2011      2         15        0.021               4.97                
2011      3         15        0.018               3.33                
2011      4         20        0.014               68.26               
2011      5         25        0.009               93.77               
2011      6         22        0.013               287.1               
2011      7         19        0.01                85.82               
2011      8         16        0.01                184.33              
2011      9         13        0.012               122.13              
2011      10        18        0.018               38.12               
2011      11        15        0.009               56.06               
2011      12        14        0.016               26.32               
2012      1         17        0.016               19.42               
2012      2         21        0.015               21.1                
2012      3         14        0.024               466.4               
2012      4         17        0.017               37.68               
2012      5         22        0.017               85.93               
2012      7         25        0.011               71.68               
2012      8         21        0.045               2021.08             
2012      9         18        0.011               94.0                
2012      10        18        0.011               60.26               
2012      11        22        0.013               78.02               
2012      12        18        0.019               25.1                
2013      1         15        0.012               10.65               
2013      2         12        0.013               10.54               
2013      3         14        0.018               11.66               
2013      4         16        0.009               10.26               
2013      5         21        0.012               20.85               
2013      6         18        0.033               5649.97             
2013      7         16        0.013               109.15              
2013      8         21        0.011               62.34               
2013      9         19        0.014               521.41              
2013      10        15        0.012               68.06               
2013      11        19        0.021               112.21              
2013      12        17        0.013               59.45               
2014      1         21        0.03                10.44               
2014      2         18        0.02                7.36                
2014      3         18        0.014               10.52               
2014      4         8         0.007               113.6               
2014      5         13        0.046               71.66               
2014      6         18        0.043               2017.98             
2014      7         10        0.025               435.37              
2014      7         10        0.025               435.37              
2014      8         12        0.015               138.41              
2014      9         9         0.052               761.72              
2014      10        14        0.043               600.21              
2014      11        11        0.011               47.79               
2014      12        9         0.035               1678.5              
2015      1         13        0.005               104.58              
2015      1         13        0.037               104.58              
2015      2         10        0.023               111.99              
2015      3         17        0.024               36.99               
2015      4         21        0.03                1037.22             
2015      5         26        0.005               144.46              
2015      6         23        0.005               236.29              
2015      7         21        0.02                1541.22             
2015      8         18        0.014               180.16              
2015      9         9         0.005               356.17              
2015      11        17        0.014               164.9               
2015      12        15        0.012               42.87               
2016      1         19        0.012               25.76               
2016      2         16        0.013               38.01               
2016      3         22        0.01                36.94               
2016      4         19        0.012               27.22               
2016      5         17        0.006               26.22               
2016      6         21        0.23                1337.22             
2016      7         19        0.016               135.63              
2016      8         16        0.015               71.88               
2016      9         20        0.016               197.63              
2016      10        20        0.009               125.76              
2016      11        16        0.097               102.06              
2016      12        13        0.007               36.65               
2017      1         17        0.012               18.27               
2017      2         21        0.01                14.23               
2017      3         22        0.015               12.0                
2017      4         26        0.005               20.94               
2017      5         24        0.01                57.5                
2017      6         20        0.008               27.94               
2017      7         18        0.012               23.35               
2017      8         15        0.008               32.54               
2017      9         25        0.007               25.17               
2017      10        24        0.013               25.64               
2017      11        28        0.009               10.92               
2018      1         17        0.013               32.3                
2018      2         21        0.044               7.67                
2018      3         20        0.009               3.83                
2018      4         17        0.009               3.74                
2018      5         30        0.014               7.77                
2018      6         19        0.008               34.08               
2018      7         17        0.014               58.17               
2018      8         14        0.009               8.66                
2018      9         18        0.007               10.09               
2018      10        23        0.011               15.91               
2018      11        20        0.01                5.46                
2018      12        19        0.015               65.97               
