Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         13        0.15                316.22              
2005      2         23        0.13                169.5               
2005      3         22        0.06                298.02              
2005      4         14        0.18                305.24              
2005      5         16        0.15                155.07              
2005      6         29        0.1                 97.43               
2005      7         27        0.18                58.56               
2005      8         30        0.19                88.23               
2005      9         29        0.18                208.74              
2005      10        26        0.2                 135.98              
2005      11        23        0.11                1010.08             
2005      12        20        0.09                354.17              
2006      1         24        0.07                77.44               
2006      2         21        0.04                50.63               
2006      3         15        0.01                419.94              
2006      4         27        0.11                35.51               
2006      5         25        0.07                28.5                
2006      6         27        0.06                43.14               
2006      7         17        0.12                98.91               
2006      8         23        0.13                13.17               
2006      9         26        0.12                69.88               
2006      10        26        0.17                47.23               
2006      12        20        0.03                64.53               
2007      1         24        0.05                25.39               
2007      2         21        0.18                52.35               
2007      3         28        0.46                40.05               
2007      4         12        0.05                27.63               
2007      5         30        0.02                11.11               
2007      6         27        0.06                0.0                 
2007      7         12        0.24                25.37               
2007      8         16        0.15                5.11                
2007      9         24        0.08                18.66               
2007      10        29        0.19                16.3                
2007      11        28        0.32                59.62               
2007      12        13        0.14                15.62               
2008      1         24        0.12                17.73               
2008      2         19        0.23                39.28               
2008      3         18        0.31                75.21               
2008      5         26        0.04                31.57               
2008      6         26        0.03                7.93                
2008      7         22        0.07                138.82              
2008      8         7         0.07                9.63                
2008      9         18        0.05                22.0                
2008      10        22        0.34                24.48               
2008      11        24        0.06                6.99                
2008      12        15        0.16                0.0                 
2009      1         27        0.28                0.07                
2009      2         23        0.03                7.88                
2009      3         16        0.04                30.46               
2009      4         28        0.02                34.1                
2009      5         25        0.03                0.0                 
2009      6         25        0.06                34.05               
2009      7         16        0.026               31.36               
2009      8         13        0.026               21.07               
2009      9         24        0.011               20.96               
2009      10        15        0.096               19.8                
2009      12        9         0.146               0.0                 
2010      1         13        0.019               56.05               
2010      2         15        0.034               36.8                
2010      3         11        0.061               141.41              
2010      4         15        0.047               49.53               
2010      5         18        0.057               42.03               
2010      6         23        0.393               155.57              
2010      7         28        0.073               170.74              
2010      8         24        0.1                 973.16              
2010      9         29        0.097               417.05              
2010      10        20        0.16                968.04              
2010      11        16        0.12                802.79              
2010      12        13        0.17                2954.19             
2011      1         24        0.099               481.17              
2011      2         10        0.12                740.7               
2011      3         24        0.096               382.74              
2011      4         20        0.077               211.51              
2011      5         26        0.12                603.78              
2011      6         14        0.066               197.95              
2011      7         20        0.14                2219.21             
2011      8         30        0.11                778.63              
2011      9         22        0.073               370.51              
2011      10        20        0.078               286.91              
2011      11        24        0.046               136.11              
2011      12        21        0.1                 176.95              
2012      1         24        0.095               44.77               
2012      2         16        0.093               0.0                 
2012      3         29        0.21                400.7               
2012      4         23        0.1                 226.75              
2012      5         24        0.071               138.07              
2012      6         20        0.061               161.93              
2012      7         25        0.093               900.55              
2012      8         14        0.1                 855.05              
2012      9         26        0.073               354.02              
2012      10        25        0.063               125.98              
2012      11        29        0.071               73.27               
2012      12        18        0.076               116.75              
2013      1         23        0.075               21.45               
2013      2         21        0.054               43.62               
2013      3         26        0.16                78.84               
2013      4         23        0.057               36.29               
2013      5         28        0.062               0.0                 
2013      6         27        0.057               53.37               
2013      7         25        0.087               430.38              
2013      8         29        0.074               1163.09             
2013      9         23        0.083               1184.24             
2013      10        17        0.053               164.88              
2013      11        21        0.069               51.19               
2013      12        11        0.087               96.99               
2014      1         15        0.064               49.79               
2014      2         26        0.079               35.68               
2014      3         20        0.055               22.61               
2014      4         16        0.034               54.2                
2014      5         27        0.06                88.28               
2014      6         17        0.15                316.64              
2014      7         21        0.073               1635.43             
2014      8         21        0.039               272.21              
2014      9         11        0.06                1064.39             
2014      10        23        0.057               45.38               
2014      11        25        0.069               86.08               
2014      12        17        0.084               16.26               
2015      1         27        0.086               43.09               
2015      2         19        0.052               63.56               
2015      3         25        0.036               43.85               
2015      4         27        0.093               42.22               
2015      5         26        0.06                8.44                
2015      6         15        0.025               8.53                
2015      7         27        0.069               245.1               
2015      8         25        0.041               82.35               
2015      9         22        0.046               43.56               
2015      10        21        0.05                0.0                 
2015      11        18        0.064               20.39               
2015      12        15        0.048               9.77                
2016      1         13        0.029               5.99                
2016      2         23        0.005               16.32               
2016      3         23        0.029               17.11               
2016      4         21        0.02                11.76               
2016      5         18        0.079               15.51               
2016      6         28        0.086               482.46              
2016      7         12        0.41                3849.55             
2016      8         24        0.11                697.85              
2016      9         21        0.11                2579.52             
2016      10        27        0.12                781.66              
2016      11        29        0.067               188.2               
2016      12        20        0.052               63.29               
2017      1         24        0.07                72.46               
2017      2         7         0.063               84.83               
2017      3         27        0.064               24.26               
2017      4         20        0.038               36.56               
2017      5         30        0.05                86.71               
2017      6         15        0.045               37.57               
2017      7         24        0.056               99.65               
2017      8         30        0.06                263.76              
2017      9         26        0.046               128.61              
2017      10        12        0.046               187.76              
2017      11        23        0.056               32.83               
2017      12        18        0.091               55.8                
2018      1         22        0.068               53.37               
2018      2         19        0.062               53.86               
2018      3         26        0.053               76.88               
2018      4         17        0.062               177.06              
2018      5         30        0.045               18.26               
2018      6         21        0.058               72.22               
2018      7         19        0.054               9.94                
2018      8         23        0.059               173.84              
2018      9         12        0.048               77.49               
2018      10        11        0.042               20.31               
2018      11        19        0.058               12.91               
2018      12        19        0.07                34.41               
